Time Stamp (Local)	OA Drybulb Temp (NOAA) [°F]	OA Dewpoint Temp (NOAA) [°F]	NCTM_AW.FPVAV-2-14:AIR VOLUME [CFM]	TboxTempRise for Container FPVAV-2-14 [°F]
2016-05-04 12:00 AM	59.13	48.82	256.00	NaN
2016-05-04 12:15 AM	59.40	48.59	260.00	NaN
2016-05-04 12:30 AM	59.67	48.37	256.00	NaN
2016-05-04 12:45 AM	59.94	48.14	260.00	NaN
2016-05-04 1:00 AM	59.60	48.25	256.00	NaN
2016-05-04 1:15 AM	58.56	48.75	236.00	NaN
2016-05-04 1:30 AM	57.53	49.24	256.00	NaN
2016-05-04 1:45 AM	56.49	49.74	256.00	9.98
2016-05-04 2:00 AM	55.71	50.00	252.00	9.96
2016-05-04 2:15 AM	55.21	50.00	256.00	9.86
2016-05-04 2:30 AM	54.72	50.00	252.00	9.94
2016-05-04 2:45 AM	54.22	50.00	256.00	9.32
2016-05-04 3:00 AM	53.96	50.13	256.00	9.41
2016-05-04 3:15 AM	53.96	50.40	256.00	9.43
2016-05-04 3:30 AM	53.96	50.67	256.00	9.48
2016-05-04 3:45 AM	53.96	50.94	256.00	9.56
2016-05-04 4:00 AM	53.96	50.95	256.00	9.21
2016-05-04 4:15 AM	53.96	50.68	256.00	8.59
2016-05-04 4:30 AM	53.96	50.41	256.00	8.24
2016-05-04 4:45 AM	53.96	50.14	256.00	9.75
2016-05-04 5:00 AM	54.09	50.00	260.00	9.43
2016-05-04 5:15 AM	54.36	50.00	260.00	9.42
2016-05-04 5:30 AM	54.63	50.00	260.00	9.06
2016-05-04 5:45 AM	54.90	50.00	260.00	8.69
2016-05-04 6:00 AM	54.91	50.00	256.00	8.74
2016-05-04 6:15 AM	54.64	50.00	256.00	8.80
2016-05-04 6:30 AM	54.37	50.00	252.00	8.86
2016-05-04 6:45 AM	54.10	50.00	256.00	8.41
2016-05-04 7:00 AM	54.32	50.13	256.00	8.49
2016-05-04 7:15 AM	55.08	50.40	260.00	8.42
2016-05-04 7:30 AM	55.85	50.67	256.00	8.89
2016-05-04 7:45 AM	56.61	50.94	260.00	9.84
2016-05-04 8:00 AM	57.61	51.19	260.00	9.68
2016-05-04 8:15 AM	58.87	51.41	260.00	9.39
2016-05-04 8:30 AM	60.13	51.64	284.00	9.19
2016-05-04 8:45 AM	61.39	51.86	288.00	9.69
2016-05-04 9:00 AM	62.63	51.98	284.00	9.99
2016-05-04 9:15 AM	63.84	51.98	296.00	10.18
2016-05-04 9:30 AM	65.06	51.98	324.00	9.79
2016-05-04 9:45 AM	66.27	51.98	384.00	9.96
2016-05-04 10:00 AM	67.40	51.98	448.00	11.98
2016-05-04 10:15 AM	68.44	51.98	432.00	8.33
2016-05-04 10:30 AM	69.47	51.98	476.00	7.84
2016-05-04 10:45 AM	70.51	51.98	492.00	7.45
2016-05-04 11:00 AM	71.40	52.11	524.00	7.23
2016-05-04 11:15 AM	72.12	52.38	592.00	7.13
2016-05-04 11:30 AM	72.84	52.65	604.00	6.52
2016-05-04 11:45 AM	73.56	52.92	644.00	5.66
2016-05-04 12:00 PM	74.30	53.17	660.00	5.41
2016-05-04 12:15 PM	75.06	53.39	664.00	5.24
2016-05-04 12:30 PM	75.83	53.62	684.00	5.70
2016-05-04 12:45 PM	76.59	53.84	636.00	5.79
2016-05-04 1:00 PM	77.36	53.73	644.00	5.79
2016-05-04 1:15 PM	78.12	53.23	680.00	5.63
2016-05-04 1:30 PM	78.89	52.74	712.00	4.28
2016-05-04 1:45 PM	79.65	52.24	760.00	4.36
2016-05-04 2:00 PM	80.17	52.11	788.00	3.16
2016-05-04 2:15 PM	80.39	52.38	780.00	3.61
2016-05-04 2:30 PM	80.62	52.65	792.00	2.77
2016-05-04 2:45 PM	80.84	52.92	812.00	3.04
2016-05-04 3:00 PM	81.09	53.17	832.00	2.56
2016-05-04 3:15 PM	81.36	53.39	804.00	2.86
2016-05-04 3:30 PM	81.63	53.62	804.00	2.10
2016-05-04 3:45 PM	81.90	53.84	796.00	3.82
2016-05-04 4:00 PM	82.15	53.86	760.00	3.04
2016-05-04 4:15 PM	82.37	53.63	796.00	2.94
2016-05-04 4:30 PM	82.60	53.41	856.00	1.98
2016-05-04 4:45 PM	82.82	53.18	784.00	2.56
2016-05-04 5:00 PM	82.94	52.93	788.00	3.19
2016-05-04 5:15 PM	82.94	52.66	760.00	3.35
2016-05-04 5:30 PM	82.94	52.39	692.00	4.47
2016-05-04 5:45 PM	82.94	52.12	632.00	5.73
2016-05-04 6:00 PM	82.71	51.98	580.00	6.02
2016-05-04 6:15 PM	82.21	51.98	540.00	6.68
2016-05-04 6:30 PM	81.72	51.98	520.00	7.64
2016-05-04 6:45 PM	81.22	51.98	472.00	8.24
2016-05-04 7:00 PM	80.50	52.11	472.00	8.38
2016-05-04 7:15 PM	79.51	52.38	432.00	9.82
2016-05-04 7:30 PM	78.52	52.65	408.00	10.56
2016-05-04 7:45 PM	77.53	52.92	404.00	10.16
2016-05-04 8:00 PM	76.31	53.40	384.00	10.05
2016-05-04 8:15 PM	74.82	54.12	380.00	10.00
2016-05-04 8:30 PM	73.34	54.84	364.00	10.73
2016-05-04 8:45 PM	71.85	55.56	352.00	11.01
2016-05-04 9:00 PM	71.06	55.84	332.00	11.43
2016-05-04 9:15 PM	71.06	55.61	332.00	9.17
2016-05-04 9:30 PM	71.06	55.39	320.00	11.63
2016-05-04 9:45 PM	71.06	55.16	304.00	11.73
2016-05-04 10:00 PM	70.58	55.15	272.00	10.43
2016-05-04 10:15 PM	69.54	55.37	272.00	11.06
2016-05-04 10:30 PM	68.51	55.60	268.00	11.72
2016-05-04 10:45 PM	67.47	55.82	264.00	12.14
2016-05-04 11:00 PM	66.92	55.84	248.00	10.04
2016-05-04 11:15 PM	66.92	55.61	264.00	11.33
2016-05-04 11:30 PM	66.92	55.39	248.00	11.97
2016-05-04 11:45 PM	66.92	55.16	248.00	10.24
2016-05-05 12:00 AM	66.46	55.15	252.00	NaN
2016-05-05 12:15 AM	65.47	55.37	272.00	NaN
2016-05-05 12:30 AM	64.48	55.60	272.00	NaN
2016-05-05 12:45 AM	63.49	55.82	272.00	NaN
2016-05-05 1:00 AM	62.73	55.84	256.00	NaN
2016-05-05 1:15 AM	62.23	55.61	272.00	NaN
2016-05-05 1:30 AM	61.74	55.39	252.00	11.44
2016-05-05 1:45 AM	61.24	55.16	268.00	9.67
2016-05-05 2:00 AM	60.98	55.04	252.00	9.91
2016-05-05 2:15 AM	60.98	55.04	272.00	10.15
2016-05-05 2:30 AM	60.98	55.04	268.00	10.02
2016-05-05 2:45 AM	60.98	55.04	256.00	10.23
2016-05-05 3:00 AM	60.98	55.04	252.00	10.22
2016-05-05 3:15 AM	60.98	55.04	NaN	NaN
2016-05-05 3:30 AM	60.98	55.04	272.00	10.55
2016-05-05 3:45 AM	60.98	55.04	252.00	9.69
2016-05-05 4:00 AM	60.98	54.91	256.00	9.79
2016-05-05 4:15 AM	60.98	54.64	256.00	9.54
2016-05-05 4:30 AM	60.98	54.37	260.00	9.69
2016-05-05 4:45 AM	60.98	54.10	256.00	10.39
2016-05-05 5:00 AM	60.62	53.86	252.00	10.52
2016-05-05 5:15 AM	59.86	53.63	252.00	9.77
2016-05-05 5:30 AM	59.09	53.41	256.00	8.98
2016-05-05 5:45 AM	58.33	53.18	256.00	10.62
2016-05-05 6:00 AM	57.92	53.06	256.00	10.61
2016-05-05 6:15 AM	57.92	53.06	252.00	9.67
2016-05-05 6:30 AM	57.92	53.06	260.00	9.28
2016-05-05 6:45 AM	57.92	53.06	256.00	9.92
2016-05-05 7:00 AM	58.87	53.06	256.00	10.05
2016-05-05 7:15 AM	60.89	53.06	252.00	10.36
2016-05-05 7:30 AM	62.92	53.06	252.00	9.69
2016-05-05 7:45 AM	64.94	53.06	256.00	9.93
2016-05-05 8:00 AM	66.61	53.06	256.00	9.53
2016-05-05 8:15 AM	67.87	53.06	252.00	10.06
2016-05-05 8:30 AM	69.13	53.06	276.00	10.29
2016-05-05 8:45 AM	70.39	53.06	300.00	10.51
2016-05-05 9:00 AM	71.52	52.70	336.00	10.75
2016-05-05 9:15 AM	72.51	51.94	384.00	9.08
2016-05-05 9:30 AM	73.50	51.17	404.00	10.14
2016-05-05 9:45 AM	74.49	50.41	472.00	8.11
2016-05-05 10:00 AM	75.25	49.87	528.00	7.43
2016-05-05 10:15 AM	75.75	49.60	608.00	6.66
2016-05-05 10:30 AM	76.24	49.33	624.00	6.03
2016-05-05 10:45 AM	76.74	49.06	652.00	5.41
2016-05-05 11:00 AM	77.36	48.92	696.00	5.18
2016-05-05 11:15 AM	78.12	48.92	724.00	4.42
2016-05-05 11:30 AM	78.89	48.92	736.00	4.21
2016-05-05 11:45 AM	79.65	48.92	764.00	3.92
2016-05-05 12:00 PM	80.17	48.92	784.00	3.16
2016-05-05 12:15 PM	80.39	48.92	692.00	4.04
2016-05-05 12:30 PM	80.62	48.92	692.00	4.78
2016-05-05 12:45 PM	80.84	48.92	660.00	4.93
2016-05-05 1:00 PM	81.09	48.92	644.00	5.34
2016-05-05 1:15 PM	81.36	48.92	632.00	5.35
2016-05-05 1:30 PM	81.63	48.92	628.00	5.48
2016-05-05 1:45 PM	81.90	48.92	644.00	5.41
2016-05-05 2:00 PM	82.15	49.17	668.00	5.13
2016-05-05 2:15 PM	82.37	49.71	680.00	5.40
2016-05-05 2:30 PM	82.60	50.25	696.00	4.98
2016-05-05 2:45 PM	82.82	50.79	712.00	4.87
2016-05-05 3:00 PM	82.94	50.95	744.00	4.29
2016-05-05 3:15 PM	82.94	50.68	740.00	3.78
2016-05-05 3:30 PM	82.94	50.41	756.00	3.84
2016-05-05 3:45 PM	82.94	50.14	780.00	2.92
2016-05-05 4:00 PM	82.94	50.13	796.00	2.58
2016-05-05 4:15 PM	82.94	50.40	812.00	2.71
2016-05-05 4:30 PM	82.94	50.67	812.00	2.84
2016-05-05 4:45 PM	82.94	50.94	800.00	2.88
2016-05-05 5:00 PM	82.71	50.95	820.00	2.44
2016-05-05 5:15 PM	82.21	50.68	796.00	3.31
2016-05-05 5:30 PM	81.72	50.41	740.00	3.84
2016-05-05 5:45 PM	81.22	50.14	660.00	4.29
2016-05-05 6:00 PM	80.86	49.77	668.00	5.17
2016-05-05 6:15 PM	80.63	49.27	636.00	5.69
2016-05-05 6:30 PM	80.41	48.78	652.00	5.90
2016-05-05 6:45 PM	80.18	48.28	604.00	6.04
2016-05-05 7:00 PM	79.24	48.38	584.00	7.14
2016-05-05 7:15 PM	77.49	49.14	548.00	7.24
2016-05-05 7:30 PM	75.73	49.91	572.00	7.50
2016-05-05 7:45 PM	73.98	50.67	532.00	7.41
2016-05-05 8:00 PM	72.91	51.19	488.00	8.07
2016-05-05 8:15 PM	72.64	51.41	468.00	8.14
2016-05-05 8:30 PM	72.37	51.64	472.00	8.32
2016-05-05 8:45 PM	72.10	51.86	448.00	8.46
2016-05-05 9:00 PM	71.62	52.11	440.00	8.81
2016-05-05 9:15 PM	70.90	52.38	448.00	9.21
2016-05-05 9:30 PM	70.18	52.65	424.00	9.79
2016-05-05 9:45 PM	69.46	52.92	424.00	9.93
2016-05-05 10:00 PM	69.19	52.83	396.00	9.47
2016-05-05 10:15 PM	69.41	52.33	376.00	9.76
2016-05-05 10:30 PM	69.64	51.84	368.00	10.29
2016-05-05 10:45 PM	69.86	51.34	336.00	10.28
2016-05-05 11:00 PM	69.62	51.08	336.00	11.06
2016-05-05 11:15 PM	68.86	51.08	312.00	11.34
2016-05-05 11:30 PM	68.09	51.08	312.00	10.19
2016-05-05 11:45 PM	67.33	51.08	312.00	9.95
2016-05-06 12:00 AM	66.69	51.08	308.00	NaN
2016-05-06 12:15 AM	66.19	51.08	336.00	NaN
2016-05-06 12:30 AM	65.70	51.08	308.00	NaN
2016-05-06 12:45 AM	65.20	51.08	280.00	NaN
2016-05-06 1:00 AM	64.94	50.95	300.00	NaN
2016-05-06 1:15 AM	64.94	50.68	280.00	NaN
2016-05-06 1:30 AM	64.94	50.41	280.00	NaN
2016-05-06 1:45 AM	64.94	50.14	260.00	11.04
2016-05-06 2:00 AM	64.71	50.00	252.00	11.04
2016-05-06 2:15 AM	64.21	50.00	260.00	10.84
2016-05-06 2:30 AM	63.72	50.00	252.00	11.06
2016-05-06 2:45 AM	63.22	50.00	256.00	9.76
2016-05-06 3:00 AM	62.86	50.00	256.00	9.67
2016-05-06 3:15 AM	62.63	50.00	256.00	10.88
2016-05-06 3:30 AM	62.41	50.00	256.00	11.08
2016-05-06 3:45 AM	62.18	50.00	256.00	9.86
2016-05-06 4:00 AM	61.93	50.00	256.00	9.65
2016-05-06 4:15 AM	61.66	50.00	256.00	10.74
2016-05-06 4:30 AM	61.39	50.00	256.00	10.61
2016-05-06 4:45 AM	61.12	50.00	256.00	10.02
2016-05-06 5:00 AM	60.88	50.00	256.00	9.95
2016-05-06 5:15 AM	60.65	50.00	256.00	10.11
2016-05-06 5:30 AM	60.43	50.00	256.00	11.25
2016-05-06 5:45 AM	60.20	50.00	256.00	10.73
2016-05-06 6:00 AM	59.49	50.13	256.00	10.30
2016-05-06 6:15 AM	58.23	50.40	256.00	10.07
2016-05-06 6:30 AM	56.97	50.67	280.00	10.34
2016-05-06 6:45 AM	55.71	50.94	256.00	10.76
2016-05-06 7:00 AM	55.73	51.54	260.00	10.24
2016-05-06 7:15 AM	57.22	52.53	260.00	9.53
2016-05-06 7:30 AM	58.70	53.52	256.00	10.00
2016-05-06 7:45 AM	60.19	54.51	256.00	10.26
2016-05-06 8:00 AM	61.93	54.81	252.00	10.63
2016-05-06 8:15 AM	63.95	54.31	256.00	10.84
2016-05-06 8:30 AM	65.98	53.82	256.00	11.31
2016-05-06 8:45 AM	68.00	53.32	276.00	10.92
2016-05-06 9:00 AM	69.65	52.70	284.00	10.96
2016-05-06 9:15 AM	70.86	51.94	288.00	10.75
2016-05-06 9:30 AM	72.08	51.17	356.00	9.89
2016-05-06 9:45 AM	73.29	50.41	384.00	10.84
2016-05-06 10:00 AM	74.42	49.77	388.00	10.04
2016-05-06 10:15 AM	75.46	49.27	432.00	8.88
2016-05-06 10:30 AM	76.49	48.78	456.00	8.35
2016-05-06 10:45 AM	77.53	48.28	488.00	8.45
2016-05-06 11:00 AM	78.42	48.25	520.00	7.89
2016-05-06 11:15 AM	79.14	48.75	540.00	7.41
2016-05-06 11:30 AM	79.86	49.24	572.00	6.68
2016-05-06 11:45 AM	80.58	49.74	576.00	5.83
2016-05-06 12:00 PM	80.86	49.64	628.00	5.93
2016-05-06 12:15 PM	80.63	48.88	640.00	5.71
2016-05-06 12:30 PM	80.41	48.11	640.00	5.52
2016-05-06 12:45 PM	80.18	47.35	612.00	5.44
2016-05-06 1:00 PM	80.29	46.94	620.00	5.54
2016-05-06 1:15 PM	80.79	46.94	600.00	6.13
2016-05-06 1:30 PM	81.28	46.94	600.00	5.74
2016-05-06 1:45 PM	81.78	46.94	628.00	5.46
2016-05-06 2:00 PM	82.15	47.30	620.00	5.56
2016-05-06 2:15 PM	82.37	48.06	632.00	5.98
2016-05-06 2:30 PM	82.60	48.83	616.00	5.63
2016-05-06 2:45 PM	82.82	49.59	656.00	5.61
2016-05-06 3:00 PM	83.07	50.00	636.00	5.58
2016-05-06 3:15 PM	83.34	50.00	632.00	5.97
2016-05-06 3:30 PM	83.61	50.00	604.00	6.31
2016-05-06 3:45 PM	83.88	50.00	564.00	7.38
2016-05-06 4:00 PM	84.02	49.87	564.00	6.89
2016-05-06 4:15 PM	84.02	49.60	584.00	6.76
2016-05-06 4:30 PM	84.02	49.33	580.00	6.59
2016-05-06 4:45 PM	84.02	49.06	556.00	6.94
2016-05-06 5:00 PM	83.89	48.92	572.00	6.97
2016-05-06 5:15 PM	83.62	48.92	596.00	6.08
2016-05-06 5:30 PM	83.35	48.92	612.00	6.06
2016-05-06 5:45 PM	83.08	48.92	588.00	6.75
2016-05-06 6:00 PM	82.71	49.28	512.00	7.40
2016-05-06 6:15 PM	82.21	50.04	472.00	8.64
2016-05-06 6:30 PM	81.72	50.81	428.00	9.17
2016-05-06 6:45 PM	81.22	51.57	428.00	9.76
2016-05-06 7:00 PM	80.62	52.34	404.00	10.14
2016-05-06 7:15 PM	79.90	53.10	376.00	11.11
2016-05-06 7:30 PM	79.18	53.87	352.00	11.42
2016-05-06 7:45 PM	78.46	54.63	324.00	12.14
2016-05-06 8:00 PM	77.60	55.15	288.00	10.96
2016-05-06 8:15 PM	76.56	55.37	240.00	12.25
2016-05-06 8:30 PM	75.53	55.60	260.00	13.11
2016-05-06 8:45 PM	74.49	55.82	260.00	13.29
2016-05-06 9:00 PM	73.60	55.94	240.00	12.56
2016-05-06 9:15 PM	72.88	55.94	236.00	12.14
2016-05-06 9:30 PM	72.16	55.94	260.00	11.92
2016-05-06 9:45 PM	71.44	55.94	256.00	12.49
2016-05-06 10:00 PM	70.93	55.71	256.00	12.89
2016-05-06 10:15 PM	70.66	55.21	256.00	11.55
2016-05-06 10:30 PM	70.39	54.72	256.00	11.28
2016-05-06 10:45 PM	70.12	54.22	256.00	12.43
2016-05-06 11:00 PM	69.52	54.32	256.00	12.50
2016-05-06 11:15 PM	68.53	55.08	256.00	12.57
2016-05-06 11:30 PM	67.54	55.85	256.00	11.54
2016-05-06 11:45 PM	66.55	56.61	256.00	11.45
2016-05-07 12:00 AM	65.89	57.02	256.00	NaN
2016-05-07 12:15 AM				
2016-05-07 12:30 AM				
2016-05-07 12:45 AM	65.08	57.02	280.00	NaN
2016-05-07 1:00 AM	64.84	57.02	268.00	NaN
2016-05-07 1:15 AM	64.61	57.02	264.00	NaN
2016-05-07 1:30 AM	64.39	57.02	264.00	NaN
2016-05-07 1:45 AM	64.16	57.02	264.00	11.26
2016-05-07 2:00 AM	63.91	57.02	248.00	10.71
2016-05-07 2:15 AM	63.64	57.02	244.00	10.93
2016-05-07 2:30 AM	63.37	57.02	244.00	11.41
2016-05-07 2:45 AM	63.10	57.02	264.00	11.68
2016-05-07 3:00 AM	62.86	56.89	264.00	11.08
2016-05-07 3:15 AM	62.63	56.62	244.00	9.87
2016-05-07 3:30 AM	62.41	56.35	264.00	11.69
2016-05-07 3:45 AM	62.18	56.08	264.00	11.20
2016-05-07 4:00 AM	62.06	55.94	240.00	10.78
2016-05-07 4:15 AM	62.06	55.94	260.00	10.53
2016-05-07 4:30 AM	62.06	55.94	244.00	10.68
2016-05-07 4:45 AM	62.06	55.94	260.00	10.54
2016-05-07 5:00 AM	62.06	56.07	252.00	11.28
2016-05-07 5:15 AM	62.06	56.34	264.00	10.54
2016-05-07 5:30 AM	62.06	56.61	256.00	10.09
2016-05-07 5:45 AM	62.06	56.88	260.00	9.83
