Date	OADryBulbTemperature(NOAA)	AHU13MixedAirTemp	
42494.125	53.96	69.49	
42494.1354166667	53.96	69.49	
42494.1458333333	53.96	69.51	
42494.15625	53.96	69.52	
42494.1666666667	53.96	69.54	
42494.1770833333	53.96	69.54	
42494.1875	53.96	69.55	
42494.1979166667	53.96	69.56	
42494.2083333333	54.086	69.57	
42494.28125	54.104	59.47	
42494.1145833333	54.224	69.47	
42494.2916666667	54.317	58.57	
42494.21875	54.356	69.57	
42494.2708333333	54.374	60.49	
42494.2291666667	54.626	69.58	
42494.2604166667	54.644	63.12	
42494.1041666667	54.719	69.44	
42494.2395833333	54.896	69.59	
42494.25	54.914	69.59	
42494.3020833333	55.082	65.27	
42494.09375	55.214	69.41	
42494.0833333333	55.709	69.39	
42496.28125	55.712	64.91	
42496.2916666667	55.733	63.32	
42494.3125	55.847	65.1	
42494.0729166667	56.492	69.37	
42494.3229166667	56.612	64.81	
42496.2708333333	56.972	65.84	
42496.3020833333	57.218	66.15	
42483.28125	57.284	69.98	
42494.0625	57.527	69.34	
42494.3333333333	57.608	64.87	
42483.2916666667	57.713	69.98	
42483.2708333333	57.779	69.97	
42495.25	57.92	69.51	
42495.2604166667	57.92	64.72	
42495.2708333333	57.92	62.89	
42495.28125	57.92	61.91	
42496.2604166667	58.232	66.56	
42483.2604166667	58.274	69.96	
42495.2395833333	58.328	69.49	
42494.0520833333	58.562	69.31	
42496.3125	58.703	65.38	
42483.25	58.769	69.95	
42495.2916666667	58.865	61.87	
42494.34375	58.868	65.35	
42483.125	59	69.47	
42483.1354166667	59	69.55	
42483.1458333333	59	69.61	
42483.15625	59	69.66	
42483.1666666667	59	69.71	
42483.1770833333	59	69.75	
42483.1875	59	69.79	
42483.1979166667	59	69.83	
42483.2083333333	59	69.87	
42483.21875	59	69.89	
42483.2291666667	59	69.91	
42483.2395833333	59	69.94	
42495.2291666667	59.093	69.5	
42492.9895833333	59.144	69.43	
42483.3020833333	59.198	69.98	
42483.1145833333	59.264	69.41	
42484.28125	59.264	70.04	
42492.9791666667	59.414	69.41	
42484.2916666667	59.462	70.1	
42496.25	59.492	69.67	
42492.96875	59.684	69.36	
42483.1041666667	59.759	69.33	
42484.2708333333	59.759	69.99	
42495.21875	59.858	69.49	
42492.9583333333	59.954	69.29	
42482.25	60.08	69.52	
42482.2604166667	60.08	62.29	
42482.2708333333	60.08	62.89	
42482.28125	60.08	62.49	
42494.3541666667	60.128	65.72	
42492.2916666667	60.185	62.06	
42496.3229166667	60.188	65.65	
42492.28125	60.2	62.61	
42492.9479166667	60.2	69.24	
42496.2395833333	60.2	69.66	
42483.09375	60.254	69.24	
42484.2604166667	60.254	69.94	
42482.2916666667	60.311	62.07	
42476.0729166667	60.344	68.8	
42482.2395833333	60.344	69.54	
42497.28125	60.344	70.41	
42492.3020833333	60.41	67.95	
42492.2708333333	60.425	63.51	
42492.9375	60.425	69.19	
42496.2291666667	60.425	69.66	
42484.3020833333	60.452	70.13	
42497.2916666667	60.542	70.44	
42476.0833333333	60.6130769230769	68.88	
42495.2083333333	60.623	69.49	
42492.3125	60.635	67.73	
42492.2604166667	60.65	65.43	
42492.9270833333	60.65	69.12	
42496.21875	60.65	69.66	
42483.3125	60.683	69.99	
42483.0833333333	60.749	69.15	
42484.25	60.749	69.89	
42482.3020833333	60.806	67.26	
42476.0625	60.839	68.71	
42482.2291666667	60.839	69.53	
42497.2708333333	60.839	70.38	
42492.3229166667	60.86	68.13	
42492.25	60.875	71.34	
42492.9166666667	60.875	69.06	
42496.2083333333	60.875	69.64	
42495.3020833333	60.89	67.49	
42480.3333333333	60.98	66.93	
42480.34375	60.98	67.17	
42480.3541666667	60.98	66.87	
42483.0520833333	60.98	68.87	
42483.0625	60.98	68.97	
42483.0729166667	60.98	69.06	
42484.2083333333	60.98	69.61	
42484.21875	60.98	69.69	
42484.2291666667	60.98	69.76	
42484.2395833333	60.98	69.83	
42492.3333333333	60.98	68.08	
42492.34375	60.98	67.13	
42492.3541666667	60.98	66.47	
42492.3645833333	60.98	67.43	
42495.0833333333	60.98	69.21	
42495.09375	60.98	69.26	
42495.1041666667	60.98	69.29	
42495.1145833333	60.98	69.33	
42495.125	60.98	69.36	
42495.1354166667	60.98	69.37	
42495.1458333333	60.98	69.39	
42495.15625	60.98	69.42	
42495.1666666667	60.98	69.43	
42495.1770833333	60.98	69.46	
42495.1875	60.98	69.47	
42495.1979166667	60.98	69.49	
42476.1354166667	61.06	69.21	
42484.1979166667	61.124	69.52	
42492.2395833333	61.124	71.36	
42492.90625	61.124	68.98	
42496.1979166667	61.124	69.64	
42481.34375	61.148	67.02	
42492.375	61.211	68.27	
42495.0729166667	61.244	69.17	
42482.3125	61.301	66.88	
42476.0520833333	61.334	68.62	
42482.21875	61.334	69.53	
42497.2604166667	61.334	70.34	
42494.3645833333	61.388	66.09	
42484.1875	61.394	69.44	
42492.2291666667	61.394	71.37	
42492.8958333333	61.394	68.91	
42496.1875	61.394	69.64	
42484.3125	61.442	70.18	
