Date	OADryBulbTemperature(NOAA)	ZoneLoadforContainerFPVAV29	
42463.25	42.98	325.08	
42463.2604166667	42.98	393.12	
42463.2708333333	42.98	324	
42463.28125	42.98	317.52	
42463.2916666667	43.211	285.12	
42463.3020833333	43.706	440.64	
42463.3125	44.201	332.64	
42463.3229166667	44.696	457.92	
42462.2916666667	45.086	311.04	
42462.28125	45.104	440.64	
42462.3020833333	45.356	432	
42462.2708333333	45.374	414.72	
42462.3125	45.626	440.64	
42462.2604166667	45.644	311.04	
42462.3229166667	45.896	423.36	
42462.25	45.914	324	
42463.3333333333	46.136	432	
42462.3333333333	46.502	432	
42462.34375	47.492	414.72	
42467.2916666667	48.125	253.8	
42467.28125	48.14	270	
42467.3020833333	48.35	259.2	
42467.2708333333	48.365	311.04	
42462.3541666667	48.482	423.36	
42467.3125	48.575	286.2	
42467.2604166667	48.59	304.56	
42463.34375	48.656	393.12	
42467.3229166667	48.8	378	
42467.25	48.815	324	
42462.3645833333	49.472	423.36	
42467.3333333333	50.096	317.52	
42464.28125	50.144	264.6	
42464.2916666667	50.231	237.6	
42464.2708333333	50.414	253.8	
42462.375	50.588	414.72	
42464.2604166667	50.684	259.2	
42464.3020833333	50.726	221.4	
42464.25	50.954	264.6	
42463.3541666667	51.176	340.2	
42464.3125	51.221	275.4	
42464.3229166667	51.716	370.44	
42462.3854166667	51.848	432	
42465.25	51.98	318.6	
42465.2604166667	51.98	270	
42465.2708333333	51.98	275.4	
42465.28125	51.98	275.4	
42465.2916666667	51.98	232.2	
42465.3020833333	51.98	336.96	
42465.3125	51.98	265.68	
42465.3229166667	51.98	285.12	
42464.3333333333	52.568	226.8	
42467.34375	52.616	370.44	
42465.3333333333	52.673	370.44	
42461.7916666667	53.06	259.2	
42461.8020833333	53.06	286.2	
42461.8125	53.06	216	
42461.8229166667	53.06	313.2	
42462.3958333333	53.108	332.64	
42461.78125	53.324	259.2	
42463.3645833333	53.696	347.76	
42461.7708333333	53.819	317.52	
42464.34375	53.828	673.92	
42461.7083333333	54.086	270	
42465.34375	54.158	725.76	
42461.6979166667	54.224	286.2	
42461.7604166667	54.314	336.96	
42461.71875	54.356	270	
42462.40625	54.368	432	
42461.7291666667	54.626	259.2	
42461.6875	54.719	243	
42461.75	54.809	324	
42461.7395833333	54.896	311.04	
42464.3541666667	55.088	1128.6	
42467.3541666667	55.136	842.4	
42461.6770833333	55.214	259.2	
42462.4166666667	55.628	336.96	
42465.3541666667	55.643	1283.04	
42461.6666666667	55.709	243	
42463.375	55.733	378	
42475.25	55.94	717.12	
42475.3020833333	55.94	226.8	
42475.3125	55.94	270	
42475.3229166667	55.94	682.56	
42461.65625	56.084	302.4	
42475.3333333333	56.0920689655172	903.96	
42475.2604166667	56.3194594594595	275.4	
42461.6458333333	56.354	264.6	
42475.34375	56.4179310344828	1366.2	
42466.25	56.57	797.04	
42461.6354166667	56.624	162	
42475.3541666667	56.7437931034483	1556.28	
42475.2708333333	56.7572972972973	264.6	
42462.4270833333	56.888	317.52	
42461.625	56.894	155.52	
42461.3229166667	57.02	259.2	
42466.2604166667	57.02	1146.96	
42466.2708333333	57.02	1058.4	
42466.28125	57.02	1144.8	
42466.2916666667	57.02	302.4	
42475.2916666667	57.02	270	
42475.3645833333	57.0696551724138	1698.84	
42475.28125	57.11	253.8	
42469.25	57.125	264.6	
42465.3645833333	57.128	1473.12	
42474.28125	57.14	216	
42461.3125	57.2114893617021	211.68	
42463.3854166667	57.218	317.52	
42483.28125	57.284	259.2	
42469.2604166667	57.35	270	
42474.2708333333	57.365	259.2	
42461.3020833333	57.4987234042553	270	
42474.2916666667	57.5046153846154	259.2	
42469.2708333333	57.575	286.2	
42474.2604166667	57.59	259.2	
42461.3333333333	57.608	324	
42466.3020833333	57.614	248.4	
42467.3645833333	57.656	446.04	
42483.2916666667	57.713	248.4	
42483.2708333333	57.779	270	
42461.2916666667	57.7859574468085	378	
42469.28125	57.8	275.4	
42474.25	57.815	855.36	
42475.375	57.92	2190.24	
42475.3854166667	57.92	2274.48	
42461.6145833333	57.956	44.28	
42475.3958333333	58.0064	2260.44	
42469.2916666667	58.046	228.96	
42462.4375	58.148	336.96	
42461.28125	58.208	259.2	
42483.2604166667	58.274	317.52	
42469.3020833333	58.316	259.2	
42466.3125	58.3565	302.4	
42469.3125	58.586	253.8	
42475.40625	58.6544	2047.68	
42463.3958333333	58.703	311.04	
42465.375	58.739	1568.16	
42461.2708333333	58.748	270	
42483.25	58.769	280.8	
42469.3229166667	58.856	370.44	
42461.34375	58.868	330.48	
42466.3229166667	59	275.4	
42474.3020833333	59	280.8	
42474.3125	59	291.6	
42474.3229166667	59	248.4	
42474.3333333333	59	248.4	
42474.34375	59.1157142857143	1069.2	
42468.3229166667	59.144	253.8	
42464.3854166667	59.198	2021.76	
42483.3020833333	59.198	275.4	
42475.4166666667	59.231	1630.8	
42484.28125	59.264	280.8	
42461.2604166667	59.288	291.6	
42462.4479166667	59.408	343.44	
42468.3125	59.414	253.8	
42469.3333333333	59.462	203.04	
42484.2916666667	59.462	253.8	
42468.3333333333	59.588	270	
42466.3333333333	59.63	699.84	
42468.3020833333	59.684	253.8	
42474.3541666667	59.6942857142857	1449.36	
42461.6041666667	59.711	139.32	
42475.4270833333	59.726	1598.4	
42484.2708333333	59.759	233.28	
42461.25	59.828	280.8	
42467.375	59.924	613.44	
42468.2916666667	59.954	253.8	
42466.34375	60.08	1030.32	
42466.3541666667	60.08	1283.04	
42466.3645833333	60.08	2021.76	
42482.25	60.08	286.2	
42482.2604166667	60.08	280.8	
42482.2708333333	60.08	248.4	
42482.28125	60.08	248.4	
42466.375	60.1166666666667	2204.28	
42461.3541666667	60.128	330.48	
42463.40625	60.188	291.6	
42475.4375	60.221	2047.68	
42484.2604166667	60.254	259.2	
42482.2916666667	60.311	297	
42474.3645833333	60.4261538461538	1508.76	
42469.34375	60.452	220.32	
42484.3020833333	60.452	324	
42468.28125	60.464	264.6	
42465.3854166667	60.494	1965.6	
42462.4583333333	60.647	211.68	
42466.3854166667	60.6666666666667	1995.84	
42464.3958333333	60.683	2218.32	
42483.3125	60.683	270	
42475.4479166667	60.716	2008.8	
42484.25	60.749	280.8	
42482.3020833333	60.806	264.6	
42468.34375	60.848	673.92	
42473.25	60.98	1010.88	
42473.2604166667	60.98	1686.96	
42473.2708333333	60.98	1544.4	
42473.28125	60.98	657.72	
42473.2916666667	60.98	544.32	
42473.3020833333	60.98	307.8	
42473.3125	60.98	162	
42473.3229166667	60.98	427.68	
42480.3333333333	60.98	1156.68	
42480.34375	60.98	1568.16	
42480.3541666667	60.98	1722.6	
42474.375	61.106	1758.24	
42473.3333333333	61.1342857142857	324	
42481.34375	61.148	307.8	
42468.2708333333	61.184	253.8	
42466.3958333333	61.2166666666667	2216.16	
42482.3125	61.301	259.2	
42474.3854166667	61.376	1829.52	
42461.3645833333	61.388	324	
42469.3541666667	61.442	194.4	
42484.3125	61.442	203.04	
42463.4166666667	61.442	370.44	
42475.4583333333	61.442	2021.76	
42473.34375	61.4648979591837	1010.88	
42461.59375	61.466	237.6	
42481.3541666667	61.508	1059.48	
42480.3645833333	61.52	2164.32	
42474.3958333333	61.646	1829.52	
42466.40625	61.7666666666667	1458	
42473.3541666667	61.7955102040816	1166.4	
42482.3229166667	61.796	286.2	
42480.3229166667	61.844	550.8	
42462.46875	61.862	216	
42481.3645833333	61.868	1956.96	
42468.2604166667	61.904	253.8	
42467.3854166667	61.904	699.84	
42474.40625	61.916	1512	
42470.25	62.06	198.72	
42470.2604166667	62.06	198.72	
42470.2708333333	62.06	190.08	
42470.28125	62.06	216	
42470.2916666667	62.06	203.04	
42473.3645833333	62.06	1302.48	
42480.375	62.06	2471.04	
42480.3854166667	62.06	2583.36	
42480.3958333333	62.06	1911.6	
42480.40625	62.06	1782	
42481.375	62.06	1969.92	
42481.3854166667	62.06	2706.48	
42468.3541666667	62.108	1108.08	
42461.375	62.165	336.96	
42473.375	62.165	1829.52	
42474.4166666667	62.165	1829.52	
42464.40625	62.168	2316.6	
42483.3229166667	62.168	243	
42470.3020833333	62.1725	220.32	
42465.3958333333	62.249	2330.64	
42480.4166666667	62.291	2511	
42481.3958333333	62.3511764705882	2442.96	
42466.4166666667	62.36	2358.72	
42461.3854166667	62.39	207.36	
42473.3854166667	62.39	1924.56	
42474.4270833333	62.39	1738.8	
42469.3645833333	62.432	228.96	
42484.3229166667	62.432	224.64	
42463.4270833333	62.432	378	
42475.46875	62.432	1620	
42481.3333333333	62.5	345.6	
42470.3125	62.594375	185.76	
42461.3958333333	62.615	291.6	
42473.3958333333	62.615	2428.92	
42474.4375	62.615	1803.6	
42468.25	62.624	270	
42482.3333333333	62.627	253.8	
42481.40625	62.7482352941176	1936.44	
42480.4270833333	62.786	1771.2	
42461.40625	62.84	291.6	
42473.40625	62.84	2428.92	
42474.4479166667	62.84	1805.76	
42470.3229166667	62.96	220.32	
42466.4270833333	63.0615384615385	1576.8	
42462.4791666667	63.077	190.08	
42461.4166666667	63.086	699.84	
42461.5416666667	63.086	168.48	
42487.25	63.086	324	
42476.25	63.1903225806452	343.44	
42461.5833333333	63.221	270	
42461.53125	63.224	162	
42474.4583333333	63.2613043478261	1760.4	
42480.4375	63.281	1663.2	
42470.3333333333	63.317	194.4	
42461.4270833333	63.356	874.8	
42461.5520833333	63.356	158.76	
42487.2604166667	63.356	280.8	
42468.3645833333	63.368	1485	
42463.4375	63.422	304.56	
42469.375	63.422	203.04	
42475.4791666667	63.422	1587.6	
42481.4166666667	63.422	1948.32	
42484.3333333333	63.422	220.32	
42473.4166666667	63.455	2060.64	
42464.4166666667	63.548	2047.68	
42461.4375	63.626	1059.48	
42461.5625	63.626	158.76	
42487.2708333333	63.626	270	
42462.8229166667	63.632	0	
42474.8229166667	63.6486956521739	544.32	
42483.3333333333	63.674	264.6	
42476.2604166667	63.6838709677419	589.68	
42461.5208333333	63.719	162	
42480.4479166667	63.776	1641.6	
42482.34375	63.842	734.4	
42467.3958333333	63.884	355.32	
42461.4479166667	63.896	382.32	
42461.5729166667	63.896	162	
42487.28125	63.896	152.28	
42474.46875	63.9069565217391	2086.56	
42465.40625	64.004	2513.16	
42479.2916666667	64.04	149.04	
42479.3020833333	64.04	286.2	
42487.2916666667	64.04	280.8	
42487.3020833333	64.04	162	
42487.3125	64.04	149.04	
42487.3229166667	64.04	142.56	
42470.34375	64.082	211.68	
42480.3125	64.13	479.52	
42461.4583333333	64.145	291.6	
42480.4583333333	64.145	1771.2	
42476.2708333333	64.1774193548387	619.92	
42479.3125	64.2025806451613	434.16	
42461.5104166667	64.214	270	
42462.4895833333	64.292	228.96	
42461.46875	64.37	264.6	
42480.46875	64.37	1652.4	
42487.3333333333	64.376	149.04	
42479.3229166667	64.3767741935484	421.2	
42463.4479166667	64.412	362.88	
42469.3854166667	64.412	264.6	
42475.4895833333	64.412	1717.2	
42481.4270833333	64.412	1663.2	
42484.34375	64.412	343.44	
42479.28125	64.43375	318.6	
42481.3229166667	64.4925714285714	248.4	
42468.375	64.502	1663.2	
42473.4270833333	64.5157142857143	1706.4	
42473.8229166667	64.55	197.64	
42474.4791666667	64.5526086956522	1641.6	
42466.4375	64.5846153846154	1706.4	
42461.4791666667	64.595	270	
42480.4791666667	64.595	2099.52	
42479.2708333333	64.6025	492.48	
42476.28125	64.6709677419355	673.92	
42461.5	64.709	132.84	
42479.2604166667	64.77125	672.84	
42464.4270833333	64.808	1931.04	
42461.4895833333	64.82	162	
42480.4895833333	64.82	1728	
42470.3541666667	64.847	224.64	
42462.8125	64.892	0	
42472.3333333333	64.94	511.92	
42472.34375	64.94	1166.4	
42472.3541666667	64.94	2073.6	
42472.3645833333	64.94	2691.36	
42472.375	64.94	2457	
42472.3854166667	64.94	2667.6	
42472.3958333333	64.94	2653.56	
42472.40625	64.94	2332.8	
42472.4166666667	64.94	2345.76	
42473.4375	64.94	2449.44	
42473.4479166667	64.94	2397.6	
42473.8020833333	64.94	695.52	
42473.8125	64.94	388.8	
42474.8125	64.94	531.36	
42479.25	64.94	1176.12	
42479.3333333333	64.94	972	
42479.34375	64.94	1078.92	
42479.3541666667	64.94	1382.4	
42482.3541666667	65.057	1040.04	
42462.5	65.066	198.72	
42473.4583333333	65.066	2242.08	
42480.5	65.066	1749.6	
42472.3229166667	65.084	427.68	
42487.34375	65.096	158.76	
42472.4270833333	65.1305882352941	2268	
42481.25	65.1443243243243	881.28	
42476.2916666667	65.1645161290323	536.76	
42481.5	65.171	2151.36	
42483.34375	65.204	270	
42481.4895833333	65.2485714285714	1663.2	
42462.5104166667	65.336	297	
42473.46875	65.336	2073.6	
42480.5104166667	65.336	1728	
42481.3125	65.3411428571429	414.72	
42472.3125	65.354	414.72	
42469.3958333333	65.402	203.04	
42481.4375	65.402	1674	
42484.3541666667	65.402	216	
42474.4895833333	65.4028571428571	1771.2	
42463.4583333333	65.423	233.28	
42468.3854166667	65.492	1969.92	
42481.2604166667	65.5821621621622	1127.52	
42462.5208333333	65.606	145.8	
42473.4791666667	65.606	1846.8	
42480.5208333333	65.606	1728	
42472.4375	65.6070588235294	2268	
42470.3645833333	65.612	216	
42472.3020833333	65.624	378	
42465.4166666667	65.654	3061.8	
42476.3020833333	65.658064516129	345.6	
42481.5104166667	65.666	1760.4	
42473.7916666667	65.6763636363636	771.12	
42475.5	65.696	1587.6	
42474.8020833333	65.7427027027027	448.2	
42487.3541666667	65.816	264.6	
42481.4791666667	65.8271428571429	1749.6	
42479.3645833333	65.8563636363636	2112.48	
42467.40625	65.864	355.32	
42462.53125	65.876	149.04	
42473.4895833333	65.876	1933.2	
42480.53125	65.876	1738.8	
42472.2916666667	65.894	394.2	
42472.4479166667	66.02	2293.92	
42472.4583333333	66.02	2306.88	
42472.46875	66.02	2293.92	
42472.4791666667	66.02	2242.08	
42472.4895833333	66.02	2280.96	
42473.78125	66.02	801.36	
42478.3333333333	66.02	531.36	
42478.34375	66.02	1146.96	
42478.3541666667	66.02	1283.04	
42478.3645833333	66.02	1758.24	
42478.375	66.02	2358.72	
42478.3854166667	66.02	2527.2	
42478.3958333333	66.02	2611.44	
42478.4166666667	66.02	3450.6	
42478.4270833333	66.02	3499.2	
42478.4375	66.02	3873.96	
42478.4479166667	66.02	3680.64	
42479.375	66.02	2471.04	
42481.2708333333	66.02	889.92	
42481.3020833333	66.02	155.52	
42464.4375	66.068	1587.6	
42466.4479166667	66.1076923076923	1555.2	
42473.5	66.125	2332.8	
42474.5833333333	66.125	3957.12	
42472.8229166667	66.14	881.28	
42472.5	66.146	2268	
42462.8020833333	66.152	103.68	
42476.3125	66.1533333333333	408.24	
42481.5208333333	66.161	1771.2	
42472.28125	66.164	405	
42478.40625	66.1723076923077	2653.56	
