Date	OADryBulbTemperatureNOAA	MaxDamperPositionforContainerAHU21	
42461.9895833333	47.204	46.8	
42461.9791666667	47.699	46.8	
42467.2083333333	48.125	46.4	
42467.2916666667	48.125	46	
42467.28125	48.14	46.4	
42461.96875	48.194	46.8	
42467.1979166667	48.284	46.4	
42467.21875	48.35	46.4	
42467.3020833333	48.35	46.4	
42467.2708333333	48.365	46.4	
42467.2291666667	48.575	46.4	
42467.3125	48.575	46.4	
42467.2604166667	48.59	46.8	
42461.9583333333	48.689	46.8	
42467.1875	48.779	46.4	
42467.2395833333	48.8	46.4	
42467.3229166667	48.8	46.8	
42467.25	48.815	46.4	
42461.9166666667	48.92	46.8	
42461.9270833333	48.92	46.8	
42461.9375	48.92	46.4	
42461.9479166667	48.92	46.8	
42461.90625	49.208	46.8	
42467.1770833333	49.274	46.4	
42461.8958333333	49.748	46.4	
42467.1666666667	49.769	46.4	
42467.3333333333	50.096	46.4	
42464.28125	50.144	46.4	
42464.2916666667	50.231	46.4	
42467.15625	50.264	46.4	
42461.8854166667	50.288	46.8	
42464.2708333333	50.414	46.8	
42464.2604166667	50.684	47.2	
42464.3020833333	50.726	46.8	
42467.1458333333	50.759	46.4	
42461.875	50.828	46	
42464.25	50.954	46.8	
42467.0833333333	51.185	47.2	
42464.2395833333	51.2	46.8	
42464.3125	51.221	46.4	
42467.1354166667	51.254	46.4	
42461.8645833333	51.344	46.8	
42467.09375	51.41	46.4	
42464.2291666667	51.425	46.8	
42467.0729166667	51.464	47.2	
42467.1041666667	51.635	46.8	
42464.21875	51.65	46.8	
42464.3229166667	51.716	46.4	
42467.125	51.749	46.4	
42461.8541666667	51.839	46.8	
42467.1145833333	51.86	46.4	
42464.2083333333	51.875	46.8	
42464.1666666667	51.98	46.4	
42464.1770833333	51.98	46.8	
42464.1875	51.98	46.8	
42464.1979166667	51.98	46.8	
42465.25	51.98	46.4	
42465.2604166667	51.98	46.4	
42465.2708333333	51.98	46.4	
42465.28125	51.98	46.4	
42465.2916666667	51.98	46.4	
42465.3020833333	51.98	46.4	
42465.3125	51.98	46.4	
42465.3229166667	51.98	46.4	
42467.0625	52.184	47.2	
42464.15625	52.244	46.8	
42465.2395833333	52.244	46.4	
42461.84375	52.334	46.4	
42464.3333333333	52.568	47.2	
42467.34375	52.616	46.4	
42465.3333333333	52.673	46.4	
42464.1458333333	52.739	46.8	
42465.2291666667	52.739	46.4	
42461.8333333333	52.829	47.2	
42467.0520833333	52.904	46.8	
42461.7916666667	53.06	48	
42461.8020833333	53.06	47.6	
42461.8125	53.06	47.6	
42461.8229166667	53.06	47.6	
42465.21875	53.234	46.4	
42461.78125	53.324	48	
42467.0416666667	53.624	47.2	
42464.125	53.729	46.8	
42465.2083333333	53.729	46.4	
42461.7708333333	53.819	48.4	
42464.34375	53.828	46.8	
42464.0833333333	53.96	46.8	
42464.09375	53.96	46.8	
42464.1041666667	53.96	46.8	
42464.1145833333	53.96	46.8	
42461.7083333333	54.086	48	
42465.34375	54.158	46.4	
42461.6979166667	54.224	48	
42465.1979166667	54.224	46.4	
42461.7604166667	54.314	47.6	
42461.71875	54.356	47.6	
42467.03125	54.368	47.2	
42464.0729166667	54.488	46.8	
42461.7291666667	54.626	48	
42461.6875	54.719	48	
42465.1875	54.719	46.4	
42461.75	54.809	47.6	
42461.7395833333	54.896	48	
42464.3541666667	55.088	46.8	
42467.0208333333	55.133	47.2	
42467.3541666667	55.136	47.2	
42461.6770833333	55.214	48	
42465.1770833333	55.214	46.4	
42475.2395833333	55.4385714285714	46.8	
42464.0625	55.478	46.8	
42475.2291666667	55.5832142857143	46.4	
42465.3541666667	55.643	47.2	
42461.6666666667	55.709	48.4	
42465.1666666667	55.709	46.8	
42475.21875	55.7278571428571	46.4	
42475.2083333333	55.8725	46.4	
42467.0104166667	55.898	47.2	
42465.125	55.94	46.4	
42465.1354166667	55.94	46.4	
42465.1458333333	55.94	46.4	
42465.15625	55.94	46.8	
42475.25	55.94	46.8	
42475.3020833333	55.94	46.8	
42475.3125	55.94	46.8	
42475.3229166667	55.94	47.2	
42468.0833333333	56.066	48	
42461.65625	56.084	48.4	
42466.1979166667	56.084	46.8	
42475.1979166667	56.084	46.8	
42475.3333333333	56.0920689655172	46.4	
42465.1145833333	56.204	47.2	
42475.2604166667	56.3194594594595	46.8	
42468.09375	56.336	48	
42461.6458333333	56.354	48.4	
42466.1875	56.354	46.8	
42475.1875	56.354	46.4	
42466.2083333333	56.36	46.8	
42475.34375	56.4179310344828	46.8	
42464.0520833333	56.468	46.8	
42468.0729166667	56.492	48	
42466.25	56.57	46.8	
42468.1041666667	56.606	48.4	
42461.6354166667	56.624	48.4	
42466.1770833333	56.624	46.8	
42475.1770833333	56.624	47.2	
42467	56.663	47.6	
42465.1041666667	56.699	46.8	
42475.3541666667	56.7437931034483	47.6	
42475.2708333333	56.7572972972973	46.8	
42468.1145833333	56.876	48.4	
42461.625	56.894	48.4	
42466.1666666667	56.894	46.8	
42475.1666666667	56.894	46.8	
42461.3229166667	57.02	46.8	
42466.2604166667	57.02	46.8	
42466.2708333333	57.02	46.8	
42466.28125	57.02	46.8	
42466.2916666667	57.02	46.8	
42468.125	57.02	48	
42468.1458333333	57.02	47.6	
42468.15625	57.02	47.6	
42475.2916666667	57.02	46.8	
42466.21875	57.0384615384615	47.2	
42475.3645833333	57.0696551724138	48.8	
42466.2291666667	57.1076923076923	46.8	
42475.28125	57.11	46.8	
42468.1666666667	57.125	47.2	
42465.3645833333	57.128	47.2	
42466.9895833333	57.14	48	
42474.28125	57.14	47.2	
42466.2395833333	57.1769230769231	46.8	
42465.09375	57.194	47.2	
42461.3125	57.2114893617021	46.8	
42475.15625	57.284	46.4	
42468.1770833333	57.35	47.2	
42466.9791666667	57.365	48	
42474.2708333333	57.365	47.2	
42466.15625	57.428	46.8	
42464.0416666667	57.458	46.8	
42461.3020833333	57.4987234042553	46.8	
42474.2916666667	57.5046153846154	46.8	
42468.0625	57.527	48	
42468.1875	57.575	47.2	
42466.96875	57.59	48	
42474.2604166667	57.59	47.2	
42461.3333333333	57.608	46.8	
42466.3020833333	57.614	46.8	
42467.3645833333	57.656	47.2	
42465.0833333333	57.689	47.2	
42464.375	57.713	46.8	
42475.1458333333	57.779	46.8	
42461.2916666667	57.7859574468085	46.8	
42468.1979166667	57.8	47.2	
42466.9583333333	57.815	48	
42474.25	57.815	47.2	
42464	57.92	47.6	
42464.0104166667	57.92	47.6	
42464.0208333333	57.92	47.2	
42464.03125	57.92	46.8	
42475.375	57.92	49.2	
42475.3854166667	57.92	54	
42461.6145833333	57.956	48.4	
42475.3958333333	58.0064	57.6	
42474.2395833333	58.064	47.2	
42466.1458333333	58.193	46.8	
42461.28125	58.208	46.8	
42465.0729166667	58.208	46.8	
42466.9479166667	58.208	48	
42474.2291666667	58.334	47.2	
42466.3125	58.3565	46.8	
42468.2083333333	58.508	47.2	
42468.0520833333	58.562	48	
42474.21875	58.604	47.2	
42475.40625	58.6544	57.2	
42465.375	58.739	46.8	
42461.2708333333	58.748	46.8	
42465.0625	58.748	47.2	
42466.9375	58.748	48	
42475.125	58.769	46.4	
42461.34375	58.868	47.2	
42474.2083333333	58.874	46.8	
42466.1354166667	58.958	46.8	
42466.3229166667	59	46.8	
42474.3020833333	59	47.2	
42474.3125	59	47.2	
42474.3229166667	59	46.4	
42474.3333333333	59	47.2	
42475.0833333333	59	46.8	
42475.09375	59	46.8	
42475.1041666667	59	46.8	
42475.1145833333	59	46.8	
42474.34375	59.1157142857143	47.2	
42468.3229166667	59.144	47.6	
42474.9479166667	59.144	50	
42475.0729166667	59.144	46.8	
42464.3854166667	59.198	48	
42475.4166666667	59.231	55.2	
42474.1979166667	59.2541176470588	46.8	
42461.2604166667	59.288	46.8	
42465.0520833333	59.288	47.2	
42466.9270833333	59.288	48	
42474.9583333333	59.378	47.6	
42468.3125	59.414	47.2	
42474.9375	59.414	52	
42475.0625	59.414	46.4	
42468.3333333333	59.588	48	
42468.0416666667	59.597	48	
42466.3333333333	59.63	47.6	
42468.3020833333	59.684	46.8	
42474.9270833333	59.684	54.4	
42475.0520833333	59.684	46.8	
42474.3541666667	59.6942857142857	47.2	
42461.6041666667	59.711	48.8	
42466.125	59.723	46.8	
42475.4270833333	59.726	60.8	
42474.1875	59.7305882352941	46.8	
42468.21875	59.768	47.2	
42461.25	59.828	46.8	
42465.0416666667	59.828	47.6	
42466.9166666667	59.828	48	
42467.375	59.924	47.2	
42468.2916666667	59.954	47.2	
42474.9166666667	59.954	56.4	
42475.0416666667	59.954	47.2	
42465.0104166667	60.08	47.6	
42465.0208333333	60.08	47.2	
42465.03125	60.08	47.2	
42466.0833333333	60.08	47.2	
42466.09375	60.08	47.2	
42466.1041666667	60.08	46.4	
42466.1145833333	60.08	47.2	
42466.34375	60.08	48.4	
42466.3541666667	60.08	50	
42466.3645833333	60.08	58.4	
42474.96875	60.08	47.2	
42474.9791666667	60.08	46.8	
42474.9895833333	60.08	47.2	
42482.25	60.08	51.6	
42482.2604166667	60.08	51.6	
42482.2708333333	60.08	51.6	
42482.28125	60.08	50.8	
42466.375	60.1166666666667	64.8	
42461.3541666667	60.128	47.6	
42464.9895833333	60.2	47.6	
42466.0729166667	60.2	47.2	
42468.03125	60.2	48	
42474.90625	60.2	57.6	
42474.1770833333	60.2184615384615	47.2	
42475.4375	60.221	63.2	
42475	60.2832258064516	46.8	
42482.2916666667	60.311	50.8	
42475.03125	60.328275862069	46.8	
42461.2395833333	60.344	46.8	
42482.2395833333	60.344	51.6	
42464.9791666667	60.425	47.6	
42466.0625	60.425	47.2	
42468.0208333333	60.425	48	
42474.8958333333	60.425	58.8	
42474.3645833333	60.4261538461538	48	
42468.28125	60.464	47.2	
42465.3854166667	60.494	47.6	
42466.90625	60.608	48	
42464.96875	60.65	48	
