Date	FPVAV19DMPRCOMD	FPVAV19AIRVOLUME	
42481.9791666667	24.4	420	
42366.7395833333	24.8	416	
42366.75	24.8	424	
42370.4791666667	24.8	428	
42370.5104166667	24.8	428	
42370.5520833333	24.8	424	
42370.59375	24.8	424	
42370.6041666667	24.8	424	
42370.6354166667	24.8	412	
42370.65625	24.8	424	
42370.6770833333	24.8	424	
42370.7083333333	24.8	424	
42370.71875	24.8	424	
42370.7291666667	24.8	424	
42370.7395833333	24.8	424	
42370.75	24.8	408	
42481.875	24.8	420	
42481.96875	24.8	420	
42366.6875	25.2	420	
42366.7083333333	25.2	428	
42366.71875	25.2	420	
42370.46875	25.2	424	
42370.4895833333	25.2	412	
42370.5	25.2	424	
42370.5208333333	25.2	404	
42370.5416666667	25.2	424	
42370.5625	25.2	408	
42370.5833333333	25.2	424	
42370.6145833333	25.2	412	
42370.625	25.2	424	
42370.6979166667	25.2	424	
42481.8854166667	25.2	424	
42481.8958333333	25.2	420	
42481.90625	25.2	424	
42481.9166666667	25.2	424	
42481.9270833333	25.2	416	
42481.9375	25.2	424	
42481.9479166667	25.2	420	
42481.9583333333	25.2	420	
42481.9895833333	25.2	416	
42482	25.2	416	
42482.0104166667	25.2	420	
42482.03125	25.2	424	
42482.0416666667	25.2	424	
42482.0520833333	25.2	416	
42482.0625	25.2	420	
42482.0729166667	25.2	420	
42482.09375	25.2	420	
42482.125	25.2	412	
42482.1458333333	25.2	420	
42482.15625	25.2	424	
42482.1666666667	25.2	420	
42482.1770833333	25.2	412	
42482.1875	25.2	416	
42482.1979166667	25.2	416	
42482.2083333333	25.2	420	
42482.21875	25.2	424	
42482.2291666667	25.2	424	
42482.2395833333	25.2	420	
42482.25	25.2	424	
42366.7291666667	25.6	424	
42370.4583333333	25.6	428	
42370.53125	25.6	428	
42370.5729166667	25.6	412	
42370.6458333333	25.6	412	
42370.6666666667	25.6	432	
42370.6875	25.6	408	
42481.8541666667	25.6	420	
42482.0208333333	25.6	424	
42482.0833333333	25.6	424	
42482.1041666667	25.6	420	
42482.1145833333	25.6	420	
42482.1354166667	25.6	420	
42366.6770833333	26	452	
42481.7604166667	26	424	
42481.8333333333	26	420	
42481.84375	26	420	
42481.8645833333	26	416	
42366.6979166667	26.4	452	
42368.6875	26.4	448	
42481.78125	26.4	424	
42481.7916666667	26.4	420	
42481.8229166667	26.4	420	
42366.6666666667	26.8	480	
42368.65625	26.8	472	
42368.7395833333	26.8	492	
42370.4375	26.8	484	
42481.7708333333	26.8	416	
42481.8020833333	26.8	416	
42481.8125	26.8	420	
42368.5520833333	27.2	496	
42368.75	27.2	444	
42370.3958333333	27.2	484	
42370.40625	27.2	484	
42370.4479166667	27.2	452	
42368.71875	27.6	448	
42368.7291666667	27.6	476	
42370.3854166667	27.6	480	
42368.6354166667	28	496	
42368.6458333333	28	496	
42368.6666666667	28	496	
42368.6770833333	28	496	
42368.6979166667	28	472	
42368.7083333333	28	472	
42370.4166666667	28	504	
42370.4270833333	28	488	
42368.5833333333	28.4	496	
42366.6458333333	28.8	540	
42368.5416666667	28.8	548	
42368.6145833333	28.8	524	
42368.625	28.8	492	
42370.3541666667	28.8	552	
42370.3645833333	28.8	536	
42370.375	28.8	532	
42366.65625	29.2	532	
42367.2604166667	29.2	424	
42367.2708333333	29.2	420	
42368.59375	29.2	528	
42369.2916666667	29.2	424	
42366.6145833333	29.6	588	
42366.6354166667	29.6	588	
42367.28125	29.6	420	
42367.2916666667	29.6	416	
42368.5625	29.6	548	
42368.5729166667	29.6	548	
42368.6041666667	29.6	528	
42369.28125	29.6	428	
42369.3020833333	29.6	408	
42373.3229166667	29.6	420	
42367.3229166667	30	416	
42368.4895833333	30	544	
42368.5208333333	30	540	
42369.2604166667	30	416	
42369.2708333333	30	412	
42373.2604166667	30	416	
42373.2708333333	30	420	
42373.3020833333	30	424	
42373.3333333333	30	416	
42367.3020833333	30.4	416	
42367.3125	30.4	412	
42368.5	30.4	600	
42368.5104166667	30.4	580	
42368.53125	30.4	576	
42369.3125	30.4	452	
42373.28125	30.4	412	
42368.4583333333	30.8	580	
42373.2916666667	30.8	408	
42373.3125	30.8	416	
42367.3541666667	31.2	608	
42369.3229166667	31.2	456	
42366.625	31.6	608	
42367.3645833333	31.6	620	
42367.3958333333	31.6	616	
42368.4166666667	31.6	640	
42368.46875	31.6	612	
42368.4791666667	31.6	616	
42380.3541666667	31.6	624	
42366.6041666667	32	636	
42367.375	32	624	
42367.3854166667	32	624	
42368.4375	32	652	
42380.34375	32	672	
42368.3854166667	32.4	632	
42368.4479166667	32.4	632	
42380.3958333333	32.4	672	
42367.40625	32.8	652	
42368.4270833333	32.8	632	
42380.3645833333	32.8	652	
42380.3854166667	32.8	660	
42366.59375	33.2	688	
42380.40625	33.2	672	
42368.3541666667	33.6	660	
42368.3645833333	33.6	700	
42368.3958333333	33.6	672	
42368.40625	33.6	672	
42380.375	33.6	664	
42366.5833333333	34	708	
42368.375	34.4	688	
42373.34375	34.4	740	
42380.4166666667	34.4	712	
42367.4166666667	34.8	712	
42370.3125	35.2	588	
42370.3333333333	35.2	588	
42380.4270833333	35.2	728	
42370.3020833333	35.6	612	
42370.3229166667	35.6	608	
42367.4270833333	36	752	
42370.34375	36	780	
42366.5729166667	36.8	764	
42369.3333333333	36.8	632	
42370.28125	36.8	644	
42380.3333333333	36.8	656	
42380.4375	36.8	784	
42366.5625	37.2	796	
42367.34375	37.2	768	
42367.4375	37.2	772	
42370.2708333333	37.2	660	
42367.3333333333	37.6	664	
42370.2916666667	37.6	668	
42366.5520833333	38	820	
42368.3229166667	38	724	
42380.3229166667	38	672	
42380.4583333333	38	808	
42380.4479166667	38.4	832	
42380.46875	38.4	820	
42368.3333333333	38.8	712	
42370.2604166667	38.8	716	
42380.3125	38.8	700	
42369.7395833333	40	856	
42338.375	40.4	872	
42338.4375	40.4	892	
42338.4479166667	40.4	884	
42338.4791666667	40.4	880	
42338.4895833333	40.4	876	
42338.5	40.4	868	
42338.53125	40.4	876	
42338.5416666667	40.4	876	
42338.5520833333	40.4	876	
42338.5729166667	40.4	880	
42338.6041666667	40.4	876	
42367.4479166667	40.4	876	
42369.75	40.4	868	
42373.3541666667	40.4	864	
42380.4791666667	40.4	888	
42338.3854166667	40.8	896	
42338.3958333333	40.8	892	
42338.40625	40.8	888	
42338.4166666667	40.8	888	
42338.4583333333	40.8	872	
42338.46875	40.8	872	
42338.5104166667	40.8	872	
42338.5208333333	40.8	860	
42338.5625	40.8	884	
42338.5833333333	40.8	888	
42338.59375	40.8	876	
42367.4583333333	40.8	884	
42368.3125	40.8	760	
42375.4479166667	40.8	884	
42375.4791666667	40.8	880	
42380.3020833333	40.8	768	
42380.5	40.8	892	
42391.375	40.8	876	
42338.3645833333	41.2	888	
42338.4270833333	41.2	888	
42366.5416666667	41.2	876	
42368.3020833333	41.2	784	
42380.2916666667	41.2	776	
42380.4895833333	41.2	908	
42366.53125	41.6	908	
42375.5208333333	41.6	900	
42391.3541666667	41.6	924	
42391.40625	41.6	924	
42338.6354166667	42	904	
42367.46875	42	908	
42368.2708333333	42	812	
42368.28125	42	824	
42368.2916666667	42	792	
42375.53125	42	924	
42375.59375	42	928	
42375.6041666667	42	932	
42375.6145833333	42	924	
42375.6458333333	42	924	
42391.34375	42	960	
42391.3854166667	42	912	
42391.3958333333	42	916	
42391.4166666667	42	920	
42338.6145833333	42.4	920	
42367.4791666667	42.4	924	
42369.7291666667	42.4	924	
42375.46875	42.4	928	
42375.5625	42.4	924	
42375.5729166667	42.4	916	
42375.5833333333	42.4	924	
42375.625	42.4	916	
42375.65625	42.4	920	
42375.6666666667	42.4	928	
42380.28125	42.4	800	
42380.5208333333	42.4	940	
42391.3645833333	42.4	920	
42338.625	42.8	932	
42375.4895833333	42.8	928	
42375.5	42.8	940	
42375.5104166667	42.8	920	
42375.5416666667	42.8	924	
42375.5520833333	42.8	920	
42375.6354166667	42.8	924	
42375.6875	42.8	940	
42366.375	43.2	968	
