Date	OADryBulbTemperatureNOAA	AHU13MixedAirTemp	
42450.3020833333	38.096	54.29	
42450.3125	38.816	55.34	
42450.3229166667	39.536	55.14	
42450.3333333333	40.277	54.86	
42450.34375	41.042	56.04	
42450.3541666667	41.807	56.48	
42450.3645833333	42.572	55.93	
42450.375	43.799	55.09	
42450.3854166667	45.554	55.71	
42454.3020833333	46.04	56.22	
42454.3125	46.04	54.92	
42454.3229166667	46.04	55.92	
42454.3333333333	46.859	55.66	
42450.3958333333	47.309	56.18	
42451.3020833333	48.02	56.02	
42451.3125	48.02	55.84	
42451.3229166667	48.02	56.22	
42457.2916666667	48.02	55.71	
42457.3020833333	48.02	55.69	
42457.3125	48.02	55.79	
42457.3229166667	48.02	55.62	
42467.3020833333	48.35	66.31	
42457.3333333333	48.377	56.39	
42467.3125	48.575	57.71	
42451.3333333333	48.608	56.59	
42454.34375	48.614	56.08	
42467.3229166667	48.8	57.59	
42450.40625	49.064	54.07	
42457.34375	49.142	55.5	
42451.34375	49.868	56.41	
42457.3541666667	49.907	56.79	
42453.3333333333	50	60.51	
42453.34375	50	59.06	
42453.3541666667	50	58.42	
42453.3645833333	50	58.88	
42467.3333333333	50.096	58.09	
42453.375	50.357	58.14	
42454.3541666667	50.369	56.36	
42453.3229166667	50.408	61.51	
42450.4166666667	50.462	54.49	
42457.3645833333	50.672	56.47	
42464.3020833333	50.726	56.47	
42453.3854166667	51.122	58.2	
42451.3541666667	51.128	56.94	
42453.3125	51.173	62.54	
42464.3125	51.221	56.31	
42457.375	51.416	57.04	
42450.4270833333	51.452	56.21	
42464.3229166667	51.716	56.87	
42453.3958333333	51.887	58.61	
42453.3020833333	51.938	64.32	
42465.3020833333	51.98	59.74	
42465.3125	51.98	58.86	
42465.3229166667	51.98	58.99	
42454.3645833333	52.124	57.99	
42457.3854166667	52.136	58.39	
42451.3645833333	52.388	57.51	
42450.4375	52.442	57.81	
42464.3333333333	52.568	57.5	
42467.34375	52.616	59.45	
42453.40625	52.652	59.17	
42465.3333333333	52.673	59.74	
42457.3958333333	52.856	58.39	
42453.4166666667	53.291	59	
42450.4479166667	53.432	59.07	
42454.375	53.522	58.43	
42457.40625	53.576	58.97	
42451.375	53.753	57.91	
42453.4270833333	53.786	57.19	
42464.34375	53.828	58.35	
42443.3229166667	54.104	60.3	
42465.34375	54.158	60.54	
42450.4583333333	54.191	58.94	
42453.4375	54.281	56.56	
42443.3125	54.374	61.22	
42454.3854166667	54.512	60.11	
42443.3333333333	54.548	60.27	
42457.4166666667	54.548	59.47	
42443.3020833333	54.644	62.27	
42450.46875	54.686	58.16	
42453.4479166667	54.776	56.03	
42494.3020833333	55.082	65.27	
42464.3541666667	55.088	59.12	
42467.3541666667	55.136	60.82	
42450.4791666667	55.181	57.82	
42451.3854166667	55.238	59.67	
42453.4583333333	55.271	56.16	
42454.3958333333	55.502	60.12	
42465.3541666667	55.643	61.44	
42450.4895833333	55.676	57.86	
42453.46875	55.766	56.21	
42443.34375	55.808	60.46	
42457.4270833333	55.808	60.31	
42494.3125	55.847	65.1	
42475.3020833333	55.94	69.37	
42475.3125	55.94	64.62	
42475.3229166667	55.94	63.79	
42450.5	56.066	58.17	
42475.3333333333	56.0920689655172	63.19	
42453.4791666667	56.261	56.82	
42450.5104166667	56.336	60.74	
42464.3645833333	56.348	60.06	
42475.34375	56.4179310344828	62.92	
42454.40625	56.492	60.79	
42450.5208333333	56.606	60.38	
42494.3229166667	56.612	64.81	
42451.3958333333	56.723	60.82	
42475.3541666667	56.7437931034483	62.69	
42453.4895833333	56.756	57.36	
42450.53125	56.876	59.5	
42461.3229166667	57.02	64.66	
42443.3541666667	57.068	60.9	
42457.4375	57.068	61.04	
42475.3645833333	57.0696551724138	62.95	
42465.3645833333	57.128	62.27	
42461.3125	57.2114893617021	64.76	
42496.3020833333	57.218	66.15	
42450.5416666667	57.377	61.83	
42453.5	57.377	57.87	
42454.4166666667	57.482	61.44	
42461.3020833333	57.4987234042553	66.46	
42461.3333333333	57.608	64.4	
42494.3333333333	57.608	64.87	
42466.3020833333	57.614	65.08	
42467.3645833333	57.656	62.11	
42464.375	57.713	61	
42475.375	57.92	63.62	
42475.3854166667	57.92	64.02	
42475.3958333333	58.0064	60.59	
42450.5520833333	58.142	61.99	
42453.5104166667	58.142	57.82	
42451.40625	58.208	60.56	
42443.3645833333	58.328	61.57	
42457.4479166667	58.328	61.61	
42466.3125	58.3565	65.11	
42454.4270833333	58.472	62.11	
42475.40625	58.6544	60.41	
42496.3125	58.703	65.38	
42465.375	58.739	63.47	
42461.34375	58.868	64.23	
42494.34375	58.868	65.35	
42450.5625	58.907	62.89	
42453.5208333333	58.907	58.51	
42466.3229166667	59	64.96	
42474.3020833333	59	69.04	
42474.3125	59	69.38	
42474.3229166667	59	65.41	
42474.3333333333	59	64.79	
42474.34375	59.1157142857143	64.73	
42468.3229166667	59.144	67.07	
42464.3854166667	59.198	62.26	
42475.4166666667	59.231	60.87	
42468.3125	59.414	68.12	
42457.4583333333	59.462	62.28	
42454.4375	59.462	62.74	
42451.4166666667	59.588	61.02	
42468.3333333333	59.588	67.02	
42466.3333333333	59.63	64.91	
42450.5729166667	59.672	62.01	
42453.53125	59.672	59.35	
42468.3020833333	59.684	70.51	
42474.3541666667	59.6942857142857	64.78	
42461.6041666667	59.711	63.33	
42475.4270833333	59.726	61.86	
42467.375	59.924	63.74	
42443.375	60.05	61.62	
42445.3020833333	60.08	66.7	
42445.3125	60.08	66.01	
42445.3229166667	60.08	66.13	
42458.3020833333	60.08	66.08	
42458.3125	60.08	65.36	
42458.3229166667	60.08	65.14	
42458.3333333333	60.08	64.87	
42458.34375	60.08	64.85	
42458.3541666667	60.08	65.26	
42458.3645833333	60.08	62.29	
42458.375	60.08	64.05	
42466.34375	60.08	64.26	
42466.3541666667	60.08	64.23	
42466.3645833333	60.08	64.38	
42466.375	60.1166666666667	64.58	
42461.3541666667	60.128	64.32	
42494.3541666667	60.128	65.72	
42453.5416666667	60.185	59.89	
42496.3229166667	60.188	65.65	
42475.4375	60.221	62.96	
42445.3333333333	60.311	65.92	
42450.5833333333	60.311	62.41	
42482.2916666667	60.311	62.07	
42453.5520833333	60.41	60.97	
42492.3020833333	60.41	67.95	
42474.3645833333	60.4261538461538	64.64	
42457.46875	60.452	63.03	
42454.4479166667	60.452	63.51	
42465.3854166667	60.494	64.63	
42453.5625	60.635	60.9	
42492.3125	60.635	67.73	
42458.3854166667	60.6575	64.37	
42466.3854166667	60.6666666666667	65.42	
42464.3958333333	60.683	62.99	
42475.4479166667	60.716	64.49	
42445.34375	60.806	65.73	
42450.59375	60.806	62.12	
42482.3020833333	60.806	67.26	
42451.4270833333	60.848	61.69	
42468.34375	60.848	66.79	
42453.5729166667	60.86	61.21	
42492.3229166667	60.86	68.13	
42495.3020833333	60.89	67.49	
42509.53125	60.9	64.4	
42473.3020833333	60.98	67.77	
42473.3125	60.98	67.32	
42473.3229166667	60.98	67.2	
42480.3333333333	60.98	66.93	
42480.34375	60.98	67.17	
42480.3541666667	60.98	66.87	
42492.3333333333	60.98	68.08	
42492.34375	60.98	67.13	
42492.3541666667	60.98	66.47	
42492.3645833333	60.98	67.43	
42509.5416666667	60.98	64.41	
42509.5729166667	60.98	64.56	
42509.5833333333	60.98	64.41	
42509.59375	60.98	64.39	
42509.6041666667	60.98	64.54	
42509.6145833333	60.98	64.44	
42474.375	61.106	64.89	
42473.3333333333	61.1342857142857	67.06	
42481.34375	61.148	67.02	
42454.4583333333	61.211	63.75	
42492.375	61.211	68.27	
42466.3958333333	61.2166666666667	64.49	
42445.3541666667	61.301	65.72	
42450.6041666667	61.301	62.41	
42482.3125	61.301	66.88	
42453.5833333333	61.337	61.47	
42509.5520833333	61.3611764705882	64.57	
42474.3854166667	61.376	65.21	
42461.3645833333	61.388	64.98	
42494.3645833333	61.388	66.09	
42509.5208333333	61.3896551724138	64.69	
42457.4791666667	61.442	62.92	
42475.4583333333	61.442	65.31	
42473.34375	61.4648979591837	66.88	
42461.59375	61.466	64.42	
42481.3541666667	61.508	66.94	
42480.3645833333	61.52	66.9	
42474.3958333333	61.646	63.87	
42454.46875	61.706	63.89	
42492.3854166667	61.706	67.68	
42509.5625	61.7276923076923	64.52	
42466.40625	61.7666666666667	64.63	
42473.3541666667	61.7955102040816	66.93	
42445.3645833333	61.796	66.04	
42450.6145833333	61.796	62.91	
42482.3229166667	61.796	67.26	
42509.625	61.82	64.79	
42480.3229166667	61.844	66.61	
42481.3645833333	61.868	67.17	
42458.3958333333	61.895	63.46	
42467.3854166667	61.904	65.08	
42474.40625	61.916	63.81	
42496.3333333333	61.925	66.11	
42509.5104166667	61.948275862069	64.73	
42473.3645833333	62.06	66.98	
42480.375	62.06	66.92	
42480.3854166667	62.06	66.71	
42480.3958333333	62.06	65.07	
42480.40625	62.06	64.57	
42481.375	62.06	67.32	
42481.3854166667	62.06	67.17	
42509.5	62.06	64.96	
42453.59375	62.102	62.25	
42451.4375	62.108	62.95	
42468.3541666667	62.108	67.02	
42450.625	62.165	63.51	
42461.375	62.165	65.32	
42473.375	62.165	67.32	
42474.4166666667	62.165	64.01	
42464.40625	62.168	63.83	
42454.4791666667	62.201	64.78	
42492.3958333333	62.201	67.51	
42465.3958333333	62.249	65.07	
42480.4166666667	62.291	65.12	
42443.3854166667	62.3	63.43	
42481.3958333333	62.3511764705882	66.04	
42466.4166666667	62.36	66.61	
42450.6354166667	62.39	63.74	
42461.3854166667	62.39	66.69	
42473.3854166667	62.39	67.89	
42474.4270833333	62.39	64.39	
42457.4895833333	62.432	63.08	
42475.46875	62.432	65.44	
42458.40625	62.45	63.89	
42481.3333333333	62.5	67.23	
42450.6458333333	62.615	65.12	
42461.3958333333	62.615	64.47	
42473.3958333333	62.615	66.09	
42474.4375	62.615	63.71	
42445.375	62.627	65.11	
42482.3333333333	62.627	67.79	
42494.375	62.627	66.59	
42454.4895833333	62.696	65	
42492.40625	62.696	67.79	
42509.4895833333	62.744	65.16	
42481.40625	62.7482352941176	67.04	
42480.4270833333	62.786	65.58	
42450.65625	62.84	66.87	
42461.40625	62.84	65.09	
42473.40625	62.84	66.58	
42474.4479166667	62.84	63.3	
42453.6041666667	62.867	62.58	
42495.3125	62.915	67.62	
42492.4166666667	62.96	67.85	
42492.4270833333	62.96	68.07	
42492.4375	62.96	68.17	
42492.4479166667	62.96	67.92	
42509.4791666667	62.96	65.47	
42510.3020833333	62.96	65.49	
42510.3125	62.96	65.36	
42510.3229166667	62.96	65.54	
42466.4270833333	63.0615384615385	67.79	
42450.6666666667	63.086	66.7	
42461.4166666667	63.086	67.23	
42461.5416666667	63.086	65.71	
42510.3333333333	63.086	65.72	
42509.46875	63.1142857142857	65.79	
42509.6354166667	63.158	65.34	
42454.5	63.191	65.27	
42461.5833333333	63.221	65.55	
42461.53125	63.224	65.92	
42474.4583333333	63.2613043478261	63.55	
42480.4375	63.281	66.47	
42457.5	63.317	63.19	
42450.6770833333	63.356	66.81	
42461.4270833333	63.356	67.22	
42461.5520833333	63.356	65.55	
42510.34375	63.356	65.79	
42451.4479166667	63.368	63.97	
42468.3645833333	63.368	67.39	
42458.4166666667	63.422	64.31	
42475.4791666667	63.422	65.81	
42481.4166666667	63.422	67.43	
42492.4583333333	63.422	68.17	
42473.4166666667	63.455	66.05	
42464.4166666667	63.548	64.67	
42450.6875	63.626	66.88	
42461.4375	63.626	66.85	
42461.5625	63.626	65.84	
42510.3541666667	63.626	65.93	
42453.6145833333	63.632	62.67	
42454.5104166667	63.686	65.7	
42461.5208333333	63.719	66.56	
42480.4479166667	63.776	66.34	
42445.3854166667	63.842	66.57	
42482.34375	63.842	67.83	
42494.3854166667	63.842	67.1	
42467.3958333333	63.884	65.41	
42450.6979166667	63.896	66.69	
42461.4479166667	63.896	66.9	
42461.5729166667	63.896	65.88	
42510.3645833333	63.896	66.24	
42474.46875	63.9069565217391	64.15	
42496.34375	63.95	66.59	
42465.40625	64.004	65.44	
42450.7083333333	64.04	67.1	
42450.71875	64.04	67.57	
42450.7291666667	64.04	67.47	
42479.3020833333	64.04	67.32	
42487.3020833333	64.04	67.51	
42487.3125	64.04	65.02	
42487.3229166667	64.04	67.49	
42509.3020833333	64.04	68.04	
42509.3125	64.04	67.6	
42510.375	64.04	64.63	
42508.3541666667	64.0636842105263	67.49	
42457.5104166667	64.082	63.03	
