Date	OADryBulbTemperatureNOAA	ZoneLoadforContainerFPVAV29	
42463.25	42.98	4536	
42463.2604166667	42.98	4536	
42463.2708333333	42.98	3888	
42463.28125	42.98	3888	
42463.2916666667	43.211	3888	
42463.2395833333	43.244	4536	
42463.3020833333	43.706	5184	
42463.2291666667	43.739	4536	
42463.3125	44.201	4536	
42463.21875	44.234	5184	
42463.3229166667	44.696	5184	
42463.2083333333	44.729	5184	
42462.2916666667	45.086	3888	
42462.28125	45.104	5184	
42463.1979166667	45.104	5184	
42462.3020833333	45.356	5184	
42462.2708333333	45.374	5184	
42463.1875	45.374	3888	
42462.3125	45.626	5184	
42462.2604166667	45.644	3888	
42463.1770833333	45.644	3888	
42462.3229166667	45.896	5184	
42462.25	45.914	3888	
42463.1666666667	45.914	2592	
42462.09375	46.04	3240	
42462.1041666667	46.04	4536	
42462.1145833333	46.04	4536	
42462.2083333333	46.04	4536	
42462.21875	46.04	3240	
42462.2291666667	46.04	3888	
42462.2395833333	46.04	5184	
42463.3333333333	46.136	5184	
42462.125	46.145	3888	
42462.1979166667	46.16	4536	
42463.15625	46.16	2592	
42462.1354166667	46.37	3888	
42462.1875	46.385	3240	
42463.1458333333	46.385	2592	
42462.3333333333	46.502	5184	
42462.1458333333	46.595	3888	
42462.1770833333	46.61	3240	
42462.15625	46.82	3240	
42462.1666666667	46.835	3240	
42463.125	46.835	3240	
42461.9895833333	47.204	3888	
42463.1145833333	47.204	3240	
42462.34375	47.492	5184	
42461.9791666667	47.699	2592	
42463.1041666667	47.699	3240	
42467.2083333333	48.125	4536	
42467.2916666667	48.125	3240	
42467.28125	48.14	3240	
42461.96875	48.194	2592	
42463.09375	48.194	3240	
42467.1979166667	48.284	4536	
42467.21875	48.35	3888	
42467.3020833333	48.35	3240	
42467.2708333333	48.365	3888	
42462.3541666667	48.482	5184	
42467.2291666667	48.575	3888	
42467.3125	48.575	3240	
42467.2604166667	48.59	3888	
42463.34375	48.656	4536	
42461.9583333333	48.689	2592	
42463.0833333333	48.689	3240	
42467.1875	48.779	4536	
42467.2395833333	48.8	3888	
42467.3229166667	48.8	4536	
42467.25	48.815	3888	
42461.9166666667	48.92	3240	
42461.9270833333	48.92	3240	
42461.9375	48.92	3240	
42461.9479166667	48.92	3240	
42461.90625	49.208	3240	
42467.1770833333	49.274	3240	
42462.3645833333	49.472	5184	
42461.8958333333	49.748	3240	
42467.1666666667	49.769	3240	
42467.3333333333	50.096	3888	
42464.28125	50.144	3240	
42464.2916666667	50.231	3240	
42467.15625	50.264	3240	
42461.8854166667	50.288	3240	
42464.2708333333	50.414	3240	
42462.375	50.588	5184	
42464.2604166667	50.684	3240	
42464.3020833333	50.726	3240	
42467.1458333333	50.759	3888	
42461.875	50.828	3240	
42464.25	50.954	3240	
42463.3541666667	51.176	4536	
42464.2395833333	51.2	3240	
42464.3125	51.221	3240	
42467.1354166667	51.254	3888	
42461.8645833333	51.344	3240	
42467.09375	51.41	4536	
42464.2291666667	51.425	3240	
42467.1041666667	51.635	3888	
42464.21875	51.65	3240	
42464.3229166667	51.716	4536	
42467.125	51.749	3888	
42461.8541666667	51.839	3888	
42462.3854166667	51.848	5184	
