Date	OADryBulbTemperatureNOAA	AHU13MixedAirTemp	AHU13MixedAirTempPred
2016-03-10 00:15	60.98	nan	69.02
2016-03-10 00:30	60.93	nan	69.05
2016-03-10 00:45	60.83	nan	69.05
2016-03-10 01:00	60.98	nan	69.35
2016-03-10 01:15	60.98	nan	69.39
2016-03-10 01:30	60.98	68.17	69.42
2016-03-10 01:45	60.98	68.17	69.44
2016-03-10 02:00	60.98	68.18	69.47
2016-03-10 02:15	60.98	68.17	69.50
2016-03-10 02:30	60.98	68.18	69.52
2016-03-10 02:45	60.86	68.16	69.54
2016-03-10 03:00	60.98	68.22	69.55
2016-03-10 03:15	60.98	68.17	69.55
2016-03-10 03:30	60.98	68.24	69.55
2016-03-10 03:45	60.98	68.13	69.55
2016-03-10 04:00	60.98	68.18	67.49
2016-03-10 04:15	60.98	68.18	67.49
2016-03-10 04:30	60.98	68.19	67.48
2016-03-10 04:45	60.98	68.19	67.47
2016-03-10 05:00	60.98	68.19	66.24
2016-03-10 05:15	60.98	68.19	66.23
2016-03-10 05:30	60.98	68.18	66.23
2016-03-10 05:45	60.98	68.17	66.23
2016-03-10 06:00	60.98	68.18	65.40
2016-03-10 06:15	60.98	64.98	64.84
2016-03-10 06:30	60.98	63.78	64.84
2016-03-10 06:45	60.98	63.28	64.89
2016-03-10 07:00	61.11	63.03	64.94
2016-03-10 07:15	61.38	68.58	64.95
2016-03-10 07:30	61.65	69.02	64.95
2016-03-10 07:45	61.92	69.22	64.95
2016-03-10 08:00	62.17	69.42	65.05
2016-03-10 08:15	62.39	69.50	64.94
2016-03-10 08:30	62.62	69.89	64.70
2016-03-10 08:45	62.84	70.16	64.63
2016-03-10 09:00	63.14	70.52	64.51
2016-03-10 09:15	63.52	70.94	64.39
2016-03-10 09:30	63.89	70.98	64.39
2016-03-10 09:45	64.27	65.27	64.39
2016-03-10 10:00	64.04	65.09	63.77
2016-03-10 10:15	64.23	65.07	63.77
2016-03-10 10:30	64.51	64.56	63.57
2016-03-10 10:45	64.79	64.40	63.93
2016-03-10 11:00	64.94	64.52	64.36
2016-03-10 11:15	64.94	64.76	64.69
2016-03-10 11:30	64.94	64.97	64.81
2016-03-10 11:45	65.64	65.24	65.11
2016-03-10 12:00	66.02	65.31	65.11
2016-03-10 12:15	66.29	64.62	64.65
2016-03-10 12:30	66.97	64.85	65.44
2016-03-10 12:45	67.64	65.18	65.94
2016-03-10 13:00	68.13	65.47	65.60
2016-03-10 13:15	68.40	66.41	65.60
2016-03-10 13:30	68.67	66.97	65.42
2016-03-10 13:45	68.94	66.14	65.42
2016-03-10 14:00	69.38	66.56	65.52
2016-03-10 14:15	70.04	67.12	65.24
2016-03-10 14:30	70.69	67.65	65.18
