Date	OADryBulbTemperatureNOAA	AHU12MixedAirTemp	MixedAirTempPredictionforContainerAHU12
42439	60.98	nan	62.975
42439.0104166667	60.98	nan	59.310001373291
42439.0208333333	60.9315384615385	nan	59.2999992370605
42439.03125	60.8276923076923	nan	58.3400001525879
42439.0416666667	60.98	nan	58.8499984741211
42439.0520833333	60.98	nan	58.8049983978271
42439.0625	60.98	55.26	58.7599983215332
42439.0729166667	60.98	55.28	58.7099990844727
42439.0833333333	60.98	55.31	58.6599998474121
42439.09375	60.98	55.33	58.625
42439.1041666667	60.98	55.35	58.5900001525879
42439.1145833333	60.86	55.32	58.5200004577637
42439.125	60.98	55.43	58.5200004577637
42439.1354166667	60.98	55.39	58.5200004577637
42439.1458333333	60.98	55.48	58.5200004577637
42439.15625	60.98	55.41	57.8749991607666
42439.1666666667	60.98	55.47	57.225
42439.1770833333	60.98	55.36	57.225
42439.1875	60.98	55.32	57.21
42439.1979166667	60.98	55.39	57.21
42439.2083333333	60.98	55.41	57.21
42439.21875	60.98	55.49	57.225
42439.2291666667	60.98	55.48	57.24
42439.2395833333	60.98	55.42	63.9500004577637
42439.25	60.98	55.37	69.305
42439.2604166667	60.98	65.78	69.94
42439.2708333333	60.98	66.04	71.16
42439.28125	60.98	66.28	71.035
42439.2916666667	61.106	66.41	70.965
42439.3020833333	61.376	67.37	70.91
42439.3125	61.646	67.71	70.91
42439.3229166667	61.916	67.94	70.94
42439.3333333333	62.165	68.02	71.065
42439.34375	62.39	67.71	71.11
42439.3541666667	62.615	68.16	71.025
42439.3645833333	62.84	68.01	71.025
42439.375	63.1368421052632	68.43	71.025
42439.3854166667	63.5157894736842	68.55	70.96
42439.3958333333	63.8947368421053	68.71	71
42439.40625	64.2736842105263	69.05	70.595
42439.4166666667	64.04	69.26	70.595
42439.4270833333	64.2275	69.37	70.1
42439.4375	64.50875	69.29	70.1
42439.4479166667	64.79	69.31	70.235
42439.4583333333	64.94	69.14	70.5
42439.46875	64.94	68.97	70.485
42439.4791666667	64.94	69.17	70.5
42439.4895833333	65.644347826087	69.14	70.48
42439.5	66.02	68.95	70.47
42439.5104166667	66.29	68.95	70.485
42439.5208333333	66.965	68.98	70.48
42439.53125	67.64	68.91	70.61
42439.5416666667	68.126	68.96	70.61
42439.5520833333	68.396	68.97	70.66
42439.5625	68.666	68.86	70.85
42439.5729166667	68.936	68.87	70.82
42439.5833333333	69.3841379310345	68.69	70.835
42439.59375	70.0358620689655	68.52	70.965
42439.6041666667	70.6875862068966	68.84	72.405
42439.6145833333	71.3393103448276	69.67	72.9700012207031
42439.625	70.829	69.39	72.43
42439.6354166667	70.334	69.09	72.5899963378906
42439.6458333333	69.839	68.81	70.72
42439.65625	69.344	68.61	70.44
42439.6666666667	68.954	68.74	70.41
42439.6770833333	68.684	69.47	70.38
42439.6875	68.414	69.6	70.465
42439.6979166667	68.144	69.29	70.465
42439.7083333333	67.874	68.97	70.41
42439.71875	67.604	68.76	70.4
42439.7291666667	67.334	68.44	70.38
42439.7395833333	67.064	68.96	70.37
42439.75	66	69.24	72.9000015258789
42439.7604166667	65.7	68.14	72.9000015258789
42439.7708333333	65.4	68.01	73.0100021362305
42439.78125	65.1	68.02	73.0100021362305
42439.7916666667	64.94	68.03	72.9000015258789
42439.8020833333	64.94	67.99	72.8600006103516
42439.8125	64.94	68.02	69.115
42439.8229166667	64.94	68.04	68.755
42439.8333333333	64.94	68.1	68.735
42439.84375	64.94	57.54	64.18
42439.8541666667	64.94	53.08	58.95
42439.8645833333	64.94	51.82	57.51
42439.875	64.8748275862069	51.23	57.075
42439.8854166667	64.7351724137931	50.92	55.445
42439.8958333333	64.5955172413793	50.71	54.58
42439.90625	64.4558620689655	50.56	54.58
42439.9166666667	64.94	50.44	55.08
42439.9270833333	64.94	50.41	54.855
42439.9375	64.94	50.38	54.705
42439.9479166667	64.94	50.35	54.58
42439.9583333333	64.94	50.31	54.515
42439.96875	64.94	50.26	54.51
42439.9791666667	64.94	50.2	57.03
42439.9895833333	64.94	50.16	57.035
42440	64.94	nan	57.035
42440.0104166667	64.895	nan	57.045
42440.0208333333	64.5575	nan	57.18
42440.03125	64.22	nan	57.24
42440.0416666667	64.0834482758621	nan	58.7900009155273
42440.0520833333	64.1765517241379	nan	58.7900009155273
42440.0625	64.2696551724138	50.24	58.7700004577637
42440.0729166667	64.3627586206897	50.22	57.25
42440.0833333333	64.04	50.52	57.25
42440.09375	64.04	50.44	57.25
42440.1041666667	64.04	50.42	57.25
42440.1145833333	64.04	50.38	57.25
42440.125	64.0842105263158	50.35	57.25
42440.1354166667	64.1789473684211	50.64	57.25
42440.1458333333	64.2736842105263	50.46	57.25
42440.15625	64.3684210526316	50.42	57.24
42440.1666666667	64.94	50.37	57.24
42440.1770833333	64.94	50.31	57.19
42440.1875	64.94	50.26	57.115
42440.1979166667	64.94	50.21	57.12
42440.2083333333	64.8748275862069	50.2	57.14
42440.21875	64.7351724137931	50.2	63.1300010681152
42440.2291666667	64.5955172413793	50.26	63.2700004577637
42440.2395833333	64.4558620689655	50.32	63.2700004577637
42440.25	64.688	50.32	63.465
42440.2604166667	64.148	67.21	63.5
42440.2708333333	64.04	67.03	70.95
42440.28125	64.04	66.79	72.59
42440.2916666667	64.04	66.58	72.7300033569336
42440.3020833333	64.04	67.88	72.8399963378906
42440.3125	64.34	68.04	73.0400009155273
42440.3229166667	64.94	68.32	73.255
42440.3333333333	64.8748275862069	68.34	73.26
42440.34375	64.7351724137931	67.99	73.26
42440.3541666667	64.5955172413793	68.86	73.255
42440.3645833333	64.4558620689655	69.02	73.255
42440.375	64.709	68.99	73.26
42440.3854166667	64.214	69.11	73.1600036621094
42440.3958333333	63.719	68.98	72.8900032043457
42440.40625	63.224	69.01	72.4199981689453
42440.4166666667	63.191	69.05	72.4000015258789
42440.4270833333	63.686	68.77	72.3499984741211
42440.4375	64.181	67.96	72.2799987792969
42440.4479166667	64.676	68.37	72.2799987792969
42440.4583333333	64.94	68.77	72.25
42440.46875	64.94	68.76	72.25
42440.4791666667	64.94	68.65	72.25
42440.4895833333	64.94	68.58	72.2200012207031
42440.5	65.297	68.51	70.32
42440.5104166667	66.062	68.44	70.35
42440.5208333333	66.827	68.63	70.335
42440.53125	67.592	68.65	70.35
42440.5416666667	68.357	68.62	70.36
42440.5520833333	69.122	68.91	68.68
42440.5625	69.887	68.78	68.86
42440.5729166667	70.652	68.69	69.21
42440.5833333333	71.396	68.25	70.31
42440.59375	72.116	68.8	70.275
42440.6041666667	72.836	69.1	70.275
42440.6145833333	73.556	69.19	70.28
42440.625	73.94	68.92	70.28
42440.6354166667	73.94	67.87	70.28
42440.6458333333	73.94	68.47	70.275
42440.65625	73.94	69.05	70.25
42440.6666666667	73.835	69.17	70.25
42440.6770833333	73.61	69.09	70.19
42440.6875	73.385	68.77	70.16
42440.6979166667	73.16	68.13	70.19
42440.7083333333	73.04	68.4	71.545001373291
42440.71875	73.04	68.76	73.1199989318847
42440.7291666667	73.04	69.2	73.2250022888184
42440.7395833333	73.04	69.12	73.3150024414063
42440.75	72.683	69.05	73.57
42440.7604166667	71.918	67.94	73.575
42440.7708333333	71.153	67.95	73.575
42440.78125	70.388	67.99	73.420001373291
42440.7916666667	69.623	68.02	73.370002746582
42440.8020833333	68.858	67.99	73.3300018310547
42440.8125	68.093	68.03	73.0899963378906
42440.8229166667	67.328	68.06	68.925
42440.8333333333	66.92	68.09	71.5400004577637
42440.84375	66.92	57.38	68.06
42440.8541666667	66.92	55.79	63.7900002288819
42440.8645833333	66.92	54.95	62.2099990844727
42440.875	66.815	54.72	62.0499992370605
42440.8854166667	66.59	54.6	62.0199985504151
42440.8958333333	66.365	54.48	59.5649991607666
42440.90625	66.14	54.34	58.8899991607666
42440.9166666667	65.8244827586207	54.35	58.6249991607666
42440.9270833333	65.4055172413793	54.4	58.4449991607666
42440.9375	64.9865517241379	54.42	58.9000015258789
42440.9479166667	64.5675862068966	54.49	58.8800010681152
42440.9583333333	64.793488372093	54.59	58.9299983978271
42440.96875	64.4795348837209	54.63	60.5049991607666
42440.9791666667	64.1655813953488	54.77	62.1100006103516
42440.9895833333	61.844	54.78	62.1800003051758
42441	60.98	nan	58.9299983978271
42441.0104166667	60.08	nan	58.9299983978271
42441.0208333333	60.08	nan	66.145
42441.03125	60.4261538461538	nan	70.69
42441.0416666667	60.98	nan	74.7200012207031
42441.0520833333	60.98	nan	74.7900009155273
42441.0625	60.98	nan	74.7799987792968
42441.0729166667	60.98	nan	74.7799987792968
42441.0833333333	61.19	nan	74.7200012207031
42441.09375	61.64	nan	74.6450004577636
42441.1041666667	62.09	nan	74.6450004577636
42441.1145833333	62.54	nan	74.625
42441.125	61.682	nan	74.625
42441.1354166667	60.935	nan	74.7300033569336
42441.1458333333	60.5975	nan	74.6100006103515
42441.15625	60.26	nan	74.6100006103515
42441.1666666667	60.185	nan	74.6100006103515
42441.1770833333	60.41	nan	74.7300033569336
42441.1875	60.635	nan	74.7749977111817
42441.1979166667	60.86	nan	74.7649993896485
42441.2083333333	60.8368181818182	nan	74.7600021362305
42441.21875	60.53	nan	74.7699966430664
42441.2291666667	60.2231818181818	nan	74.7699966430664
42441.2395833333	60.6036363636364	nan	74.7900009155273
42441.25	60.35	nan	74.7799987792968
42441.2604166667	60.08	nan	74.7649993896485
42441.2708333333	60.08	nan	74.7649993896485
42441.28125	60.08	nan	74.7600021362305
42441.2916666667	60.311	nan	74.7699966430664
42441.3020833333	60.806	nan	74.7699966430664
42441.3125	61.301	nan	74.75
42441.3229166667	61.796	nan	74.71000289917
42441.3333333333	62.396	nan	74.7749977111817
42441.34375	63.116	nan	74.6800003051758
42441.3541666667	63.836	nan	74.6500015258789
42441.3645833333	64.556	nan	70.8399963378906
42441.375	64.625	nan	66.2300033569336
42441.3854166667	64.04	nan	59.3349990844727
42441.3958333333	64.04	nan	59.0299987792969
42441.40625	64.2338461538462	nan	55.65
42441.4166666667	64.6127272727273	nan	55.64
42441.4270833333	65.2228571428571	nan	54.785
42441.4375	65.6085714285714	nan	54.81
42441.4479166667	65.9942857142857	nan	54.905
42441.4583333333	65.255	nan	55.32
42441.46875	65.93	nan	55.05
42441.4791666667	66.605	nan	54.775
42441.4895833333	67.46	nan	54.775
42441.5	68.126	nan	54.725
42441.5104166667	68.396	nan	54.82
42441.5208333333	68.666	nan	54.64
42441.53125	68.936	nan	54.64
42441.5416666667	69.53	nan	54.64
42441.5520833333	69.98	nan	54.65
42441.5625	70.4063157894737	nan	54.685
42441.5729166667	70.8326315789474	nan	54.71
42441.5833333333	70.703	nan	54.71
42441.59375	69.938	nan	54.75
42441.6041666667	69.173	nan	58.7700004577636
42441.6145833333	68.408	nan	58.5300006866455
42441.625	68.357	nan	58.5450000762939
42441.6354166667	69.122	nan	58.9850006103515
42441.6458333333	69.887	nan	58.5699996948242
42441.65625	70.652	nan	58.560001373291
42441.6666666667	71.06	nan	58.5500011444092
42441.6770833333	71.06	nan	58.5500011444092
42441.6875	71.06	nan	58.5400009155274
42441.6979166667	71.06	nan	58.5099983215332
42441.7083333333	70.934	nan	58.5099983215332
42441.71875	70.664	nan	58.5149993896485
42441.7291666667	70.394	nan	58.5099983215332
42441.7395833333	70.124	nan	58.5099983215332
42441.75	69.749	nan	58.4900016784668
42441.7604166667	69.254	nan	58.4900016784668
42441.7708333333	68.759	nan	58.4900016784668
42441.78125	68.264	nan	58.4800014495849
42441.7916666667	67.643	nan	58.4349994659424
42441.8020833333	66.878	nan	58.4300003051758
42441.8125	66.113	nan	57.7399990844727
42441.8229166667	65.348	nan	56.94
42441.8333333333	64.709	nan	56.88
42441.84375	64.214	nan	56.88
42441.8541666667	63.719	nan	56.88
42441.8645833333	63.224	nan	56.99
42441.875	62.729	nan	56.86
42441.8854166667	62.234	nan	56.86
42441.8958333333	61.739	nan	56.87
42441.90625	61.244	nan	56.98
42441.9166666667	60.875	nan	57.1
42441.9270833333	60.65	nan	57.41
42441.9375	60.425	nan	57.87
42441.9479166667	60.2	nan	58.12
42441.9583333333	59.954	nan	58.12
42441.96875	59.684	nan	58.24
42441.9791666667	59.414	nan	58.54
42441.9895833333	59.144	nan	58.54
42442	58.769	54.53	58.54
42442.0104166667	58.274	nan	57.595
42442.0208333333	57.779	55.24	58.9499996948242
42442.03125	57.284	55.27	59.1399993896484
42442.0416666667	57.02	55.35	59.1399993896484
42442.0520833333	57.02	55.26	59.1399993896484
42442.0625	57.02	55.34	59.1399993896484
42442.0729166667	57.02	55.36	61.2549991607666
42442.0833333333	nan	nan	nan
42442.09375	nan	nan	nan
42442.1041666667	nan	nan	nan
42442.1145833333	nan	nan	nan
42442.125	57.125	nan	63.3400001525879
42442.1354166667	57.35	55.38	63.3549995422363
42442.1458333333	57.575	55.39	63.3350009918213
42442.15625	57.8	55.34	63.3549995422363
42442.1666666667	57.815	55.43	63.3499984741211
42442.1770833333	57.59	55.5	63.3499984741211
42442.1875	57.365	55.49	63.3449993133545
42442.1979166667	57.14	55.48	63.3449993133545
42442.2083333333	57.125	55.46	63.3350009918213
42442.21875	57.35	55.47	63.3400001525879
42442.2291666667	57.575	55.42	63.3499984741211
42442.2395833333	57.8	55.37	63.3499984741211
42442.25	57.815	55.42	63.3449993133545
42442.2604166667	57.59	55.5	63.3250007629395
42442.2708333333	57.365	55.59	63.2800002288818
42442.28125	57.14	55.58	61.1350002288819
42442.2916666667	57.3423255813954	55.56	58.9900016784668
42442.3020833333	58.033023255814	55.54	58.9650001525879
42442.3125	58.7237209302326	55.46	58.9349994659424
42442.3229166667	60.08	55.45	58.2099990844727
42442.3333333333	60.206	55.49	58.3600006103516
42442.34375	60.476	55.51	58.3699989318848
42442.3541666667	60.746	55.48	58.3699989318848
42442.3645833333	60.98	55.54	58.3699989318848
42442.375	61.26	55.69	58.4199981689453
42442.3854166667	61.86	55.67	58.4199981689453
42442.3958333333	62.66	55.59	58.4049987792968
42442.40625	63.56	55.64	58.3449993133545
42442.4166666667	64.6175	55.64	58.3150005340576
42442.4270833333	65.855	55.73	58.2700004577637
42442.4375	66.5286956521739	55.75	58.3000011444092
42442.4479166667	67.3353846153846	55.68	57.5049992370605
42442.4583333333	68.5435294117647	55.72	58.34
42442.46875	69.7082352941176	55.74	58.435
42442.4791666667	70.8729411764706	55.71	58.4
42442.4895833333	72.08	55.75	59.85
42442.5	73.3006896551724	55.84	59.86
42442.5104166667	73.8593103448276	55.8	59.85
