Date	AHU21MixedAirTemp	MixedAirTempPredictionforContainerAHU21	
42461	nan	nan	
42461.0104166667	nan	nan	
42461.0208333333	nan	nan	
42461.03125	nan	nan	
42461.0416666667	nan	nan	
42461.0520833333	nan	nan	
42461.0625	nan	nan	
42461.0729166667	nan	nan	
42461.0833333333	nan	nan	
42461.09375	nan	nan	
42461.1041666667	nan	nan	
42461.1145833333	nan	nan	
42461.125	nan	nan	
42461.1354166667	nan	nan	
42461.1458333333	nan	nan	
42461.15625	nan	nan	
42461.1666666667	nan	nan	
42461.1770833333	nan	nan	
42461.1875	nan	nan	
42461.1979166667	nan	nan	
42461.2083333333	nan	nan	
42461.21875	nan	nan	
42461.2291666667	nan	nan	
42461.2395833333	nan	nan	
42461.25	nan	nan	
42461.2604166667	nan	nan	
42461.2708333333	nan	nan	
42461.28125	nan	nan	
42461.2916666667	nan	nan	
42461.3020833333	nan	nan	
42461.3125	nan	nan	
42461.3229166667	nan	nan	
42461.3333333333	70.32	69.79	
42461.34375	70.34	69.875	
42461.3541666667	70.62	69.845	
42461.3645833333	70.64	70.205	
42461.375	69.79	70.215	
42461.3854166667	70.97	70.235	
42461.3958333333	71.2	70.545	
42461.40625	71.06	70.595	
42461.4166666667	70.86	70.655	
42461.4270833333	70.69	70.72	
42461.4375	70.47	70.71	
42461.4479166667	70.32	70.73	
42461.4583333333	70.31	70.71	
42461.46875	70.17	70.71	
42461.4791666667	70.14	70.715	
42461.4895833333	70.2	70.725	
42461.5	70.29	70.715	
42461.5104166667	70.28	70.655	
42461.5208333333	70.27	70.6	
42461.53125	70.31	70.505	
42461.5416666667	70.39	70.495	
42461.5520833333	70.44	70.495	
42461.5625	70.53	70.505	
42461.5729166667	70.53	70.52	
42461.5833333333	70.64	70.525	
42461.59375	70.77	70.38	
42461.6041666667	70.98	70.16	
42461.6145833333	70.99	70.17	
42461.625	70.82	70.17	
42461.6354166667	70.89	70.185	
42461.6458333333	70.71	70.195	
42461.65625	70.7	70.26	
42461.6666666667	70.59	70.31	
42461.6770833333	70.65	70.39	
42461.6875	70.47	70.48	
42461.6979166667	70.47	70.5	
42461.7083333333	70.41	70.5	
42461.71875	70.45	70.48	
42461.7291666667	70.52	70.41	
42461.7395833333	70.52	70.41	
42461.75	nan	nan	
42461.7604166667	nan	nan	
42461.7708333333	nan	nan	
42461.78125	nan	nan	
42461.7916666667	nan	nan	
42461.8020833333	nan	nan	
42461.8125	nan	nan	
42461.8229166667	nan	nan	
42461.8333333333	nan	nan	
42461.84375	nan	nan	
42461.8541666667	nan	nan	
42461.8645833333	nan	nan	
42461.875	nan	nan	
42461.8854166667	nan	nan	
42461.8958333333	nan	nan	
42461.90625	nan	nan	
42461.9166666667	nan	nan	
42461.9270833333	nan	nan	
42461.9375	nan	nan	
42461.9479166667	nan	nan	
42461.9583333333	nan	nan	
42461.96875	nan	nan	
42461.9791666667	nan	nan	
42461.9895833333	nan	nan	
42462	nan	nan	
42462.0104166667	nan	nan	
42462.0208333333	nan	nan	
42462.03125	nan	nan	
42462.0416666667	nan	nan	
42462.0520833333	nan	nan	
42462.0625	nan	nan	
42462.0729166667	nan	nan	
42462.0833333333	nan	nan	
42462.09375	nan	nan	
42462.1041666667	nan	nan	
42462.1145833333	nan	nan	
42462.125	nan	nan	
42462.1354166667	nan	nan	
42462.1458333333	nan	nan	
42462.15625	nan	nan	
42462.1666666667	nan	nan	
42462.1770833333	nan	nan	
42462.1875	nan	nan	
42462.1979166667	nan	nan	
42462.2083333333	nan	nan	
42462.21875	nan	nan	
42462.2291666667	nan	nan	
42462.2395833333	nan	nan	
42462.25	nan	nan	
42462.2604166667	nan	nan	
42462.2708333333	nan	nan	
42462.28125	nan	nan	
42462.2916666667	nan	nan	
42462.3020833333	nan	nan	
42462.3125	nan	nan	
42462.3229166667	nan	nan	
42462.3333333333	nan	nan	
42462.34375	nan	nan	
42462.3541666667	nan	nan	
42462.3645833333	nan	nan	
42462.375	nan	nan	
42462.3854166667	nan	nan	
42462.3958333333	nan	nan	
42462.40625	nan	nan	
42462.4166666667	nan	nan	
42462.4270833333	nan	nan	
42462.4375	nan	nan	
42462.4479166667	nan	nan	
42462.4583333333	nan	nan	
42462.46875	nan	nan	
42462.4791666667	nan	nan	
42462.4895833333	nan	nan	
42462.5	nan	nan	
42462.5104166667	nan	nan	
42462.5208333333	nan	nan	
42462.53125	nan	nan	
42462.5416666667	nan	nan	
42462.5520833333	nan	nan	
42462.5625	nan	nan	
42462.5729166667	nan	nan	
42462.5833333333	nan	nan	
42462.59375	nan	nan	
42462.6041666667	nan	nan	
42462.6145833333	nan	nan	
42462.625	nan	nan	
42462.6354166667	nan	nan	
42462.6458333333	nan	nan	
42462.65625	nan	nan	
42462.6666666667	nan	nan	
42462.6770833333	nan	nan	
42462.6875	nan	nan	
42462.6979166667	nan	nan	
42462.7083333333	nan	nan	
42462.71875	nan	nan	
42462.7291666667	nan	nan	
42462.7395833333	nan	nan	
42462.75	nan	nan	
42462.7604166667	nan	nan	
42462.7708333333	nan	nan	
42462.78125	nan	nan	
42462.7916666667	nan	nan	
42462.8020833333	nan	nan	
42462.8125	nan	nan	
42462.8229166667	nan	nan	
42462.8333333333	nan	nan	
42462.84375	nan	nan	
42462.8541666667	nan	nan	
42462.8645833333	nan	nan	
42462.875	nan	nan	
42462.8854166667	nan	nan	
42462.8958333333	nan	nan	
42462.90625	nan	nan	
42462.9166666667	nan	nan	
42462.9270833333	nan	nan	
