Date	ZoneLoadforContainerFPVAV14	ZoneLoadResidualforContainerFPVAV14	
42430	nan	nan	
42430.0104166667	nan	nan	
42430.0208333333	nan	nan	
42430.03125	nan	nan	
42430.0416666667	nan	nan	
42430.0520833333	nan	nan	
42430.0625	nan	nan	
42430.0729166667	nan	nan	
42430.0833333333	nan	nan	
42430.09375	nan	nan	
42430.1041666667	nan	nan	
42430.1145833333	nan	nan	
42430.125	nan	nan	
42430.1354166667	nan	nan	
42430.1458333333	nan	nan	
42430.15625	nan	nan	
42430.1666666667	nan	nan	
42430.1770833333	nan	nan	
42430.1875	nan	nan	
42430.1979166667	nan	nan	
42430.2083333333	nan	nan	
42430.21875	nan	nan	
42430.2291666667	nan	nan	
42430.2395833333	nan	nan	
42430.25	nan	nan	
42430.2604166667	nan	nan	
42430.2708333333	nan	nan	
42430.28125	nan	nan	
42430.2916666667	nan	nan	
42430.3020833333	nan	nan	
42430.3125	nan	nan	
42430.3229166667	nan	nan	
42430.3333333333	nan	nan	
42430.34375	nan	nan	
42430.3541666667	nan	nan	
42430.3645833333	nan	nan	
42430.375	3024	5859	
42430.3854166667	4914	3591	
42430.3958333333	6426	1512	
42430.40625	6048	1512	
42430.4166666667	6048	1134	
42430.4270833333	8694	-2268	
42430.4375	10584	-4914	
42430.4479166667	13608	-7938	
42430.4583333333	15120	-9828	
42430.46875	16254	-11340	
42430.4791666667	15876	-11340	
42430.4895833333	26460	-21735	
42430.5	34776	-27594	
42430.5104166667	37800	-29106	
42430.5208333333	34776	-23814	
42430.53125	30240	-19089	
42430.5416666667	27594	-17766	
42430.5520833333	14742	-6426	
42430.5625	12096	-3024	
42430.5729166667	20412	-7182	
42430.5833333333	27594	-12663	
42430.59375	32130	-17199	
42430.6041666667	31752	-15309	
42430.6145833333	27216	-10206	
42430.625	18900	-378	
42430.6354166667	17388	2268	
42430.6458333333	30618	-10962	
42430.65625	35532	-19656	
42430.6666666667	37044	-24948	
42430.6770833333	32130	-20034	
42430.6875	14742	-6804	
42430.6979166667	7182	-1134	
42430.7083333333	nan	nan	
42430.71875	nan	nan	
