Date	ZoneLoadforContainerFPVAV19	PlenumTemperatureforContainerFPVAV19	
42402.375	20088	92.4853846153847	
42402.3854166667	11988	447.42	
42402.3958333333	14580	-291.84	
42402.40625	16524	-460.73	
42402.4166666667	18144	-232.93	
42402.4270833333	20412	-514.899999999998	
42402.4375	20736	299.370000000001	
42402.4479166667	20412	314.27	
42402.46875	20412	-175.539999999999	
42402.4791666667	20088	-91.96	
42402.5	21384	546.360000000001	
42402.5104166667	20088	200.06	
42402.5208333333	18468	394.74	
42402.5416666667	19764	532.41	
42402.5520833333	20412	210.940000000001	
42402.5625	19764	305.83	
42402.5729166667	17820	287.959999999999	
42402.5833333333	12636	286.24	
42402.59375	12960	783.09	
42402.6041666667	14904	-157.16	
42402.6145833333	16524	-210.789999999999	
42402.6354166667	18144	124.795	
42402.6458333333	14580	153.12	
42402.65625	12636	-644.850000000002	
42402.6666666667	14580	-145.04	
42402.6875	17820	-540.490000000002	
42402.6979166667	18792	111.496666666667	
42403.375	18468	-729.119999999999	
42403.3854166667	17820	-166.24	
42403.3958333333	18144	-671.93	
42403.40625	18792	-576.610000000001	
42403.4166666667	23976	-480.780000000001	
42403.4479166667	14580	-702.540000000001	
42403.4583333333	15228	898.200000000001	
42403.4791666667	15228	725.279999999999	
42403.4895833333	13284	-73.04	
42403.5	19116	218.88	
42403.5104166667	21060	672.440000000001	
42403.5208333333	20412	652.010000000002	
42403.53125	15228	781.59	
42403.5416666667	17172	-296.860000000001	
42403.5625	14580	689.400000000001	
42403.5729166667	17496	-644.84	
42403.59375	19116	-248.530000000001	
42403.6041666667	19116	685.900000000001	
42403.6145833333	17172	-244.01	
42403.625	14256	-552.540000000001	
42403.6458333333	18468	-546.509999999998	
42403.65625	12636	-213.74	
42403.6666666667	10692	659.510000000002	
42403.6770833333	10044	-167.299999999999	
42403.6875	11988	-682.98	
42403.6979166667	10044	-540.009999999998	
42404.40625	13932	228.76	
42404.4375	16200	-268.18	
42404.4479166667	15876	420.09	
42404.4583333333	16524	-631.799999999999	
42404.46875	15876	-314.99	
42404.4791666667	19440	367.92	
42404.5104166667	14256	-276.24	
42404.5208333333	13608	-286.309999999999	
42404.53125	15228	722.290000000001	
42404.5416666667	13932	-714.079999999998	
42404.5520833333	15228	689.400000000001	
42404.5625	16848	666.970000000001	
42404.5833333333	17496	200.099999999999	
42404.59375	16848	343.1	
42404.6041666667	16524	-120.79	
42404.6145833333	19764	-220.34	
42404.625	20736	228.76	
42404.6354166667	20736	131.69	
42404.65625	16524	696.869999999999	
42404.6666666667	16200	413.129999999999	
42404.6770833333	16524	-590.16	
42404.6875	16200	-255.59	
42404.6979166667	14256	-501.369999999999	
42405.375	13284	694.889999999999	
42405.3854166667	12960	733.760000000002	
42405.3958333333	12960	694.889999999999	
42405.40625	11340	-38.0642857142858	
42405.4166666667	14580	-263.66	
