Date	OADryBulbTemperatureNOAA	ZoneReheatEnergyforContainerFPVAV213	
42402.375	57.251	-1593.82079999999	
42402.3854166667	57.746	-1721.6928	
42402.3958333333	58.241	-1580.03999999999	
42402.40625	58.736	-1415.75040000001	
42402.4166666667	59.819	-1620.0864	
42402.4270833333	61.574	-1693.44	
42402.4375	63.329	-1472.04	
42402.4479166667	65.084	-1670.76	
42402.4583333333	66.377	-1894.1472	
42402.46875	67.142	-1388.88	
42402.4791666667	67.907	-1533.08160000001	
42402.4895833333	68.672	-832.680000000001	
42402.5	69.185	-786.844800000002	
42402.5104166667	69.41	-473.601600000012	
42402.5208333333	69.635	-958.52160000001	
42402.53125	69.86	-653.788800000005	
42402.5416666667	69.98	-738.633600000001	
42402.5520833333	69.98	-1027.90080000001	
42402.5625	69.98	-961.675199999998	
42402.5729166667	69.98	-1017.35999999999	
42402.5833333333	69.98	-1131.84	
42402.59375	69.98	-813.24	
42402.6041666667	69.98	-1239.84	
42402.6145833333	69.98	-903.960000000004	
42402.625	69.98	-1362.96	
42402.6354166667	69.98	-868.320000000002	
42402.6458333333	69.98	-813.455999999992	
42402.65625	69.98	-912.643200000012	
42402.6666666667	69.875	-1199.88	
42402.6770833333	69.65	-1115.64	
42402.6875	69.425	-1263.2112	
42402.6979166667	69.2	-1103.9328	
42403.375	44.396	-1104.84	
42403.3854166667	45.116	-979.559999999996	
42403.3958333333	45.836	-1089.72	
42403.40625	46.556	-915.839999999999	
42403.4166666667	47.297	-724.291200000006	
42403.4270833333	48.062	-741.052800000001	
42403.4375	48.827	-1281.22560000001	
42403.4479166667	49.592	-1072.43999999999	
42403.4583333333	50.231	-1244.16	
42403.46875	50.726	-1188.08640000001	
42403.4791666667	51.221	-1051.92	
42403.4895833333	51.716	-794.880000000005	
42403.5	52.337	-309.960000000007	
42403.5104166667	53.102	-896.399999999998	
42403.5208333333	53.867	-988.156799999993	
42403.53125	54.632	-758.980799999998	
42403.5416666667	55.04	-998.481600000001	
42403.5520833333	55.04	-1193.616	
42403.5625	55.04	-1368.36	
42403.5729166667	55.04	-1088.64	
42403.5833333333	55.145	-1507.68	
42403.59375	55.37	-899.639999999998	
42403.6041666667	55.595	-1176.12	
42403.6145833333	55.82	-1216.85760000001	
42403.625	55.94	-1446.07679999998	
42403.6354166667	55.94	-1469.1456	
42403.6458333333	55.94	-1443.96	
42403.65625	55.94	-1648.08	
42403.6666666667	55.835	-1351.08000000001	
42403.6770833333	55.61	-1112.9184	
42403.6875	55.385	-1632.1824	
42403.6979166667	55.16	-1528.20000000001	
42404.375	40.739	-1181.6928	
42404.3958333333	44.249	-1238.4576	
42404.4166666667	47.297	-976.147200000003	
42404.4479166667	49.592	-1286.28	
42404.46875	50.726	-1129.33439999999	
42404.4791666667	51.221	-1634.1264	
42404.5104166667	53.102	-1107.5616	
42404.5208333333	53.867	-1212.624	
42404.53125	54.632	-749.520000000003	
42404.5416666667	55.145	-857.519999999997	
42404.5625	55.595	-1431.0432	
42404.59375	56.336	-975.240000000006	
42404.6041666667	56.606	-817.560000000005	
42404.6354166667	57.02	-1224.72	
42404.6458333333	57.02	-713.880000000001	
42404.65625	57.02	-1146.96	
42404.6666666667	56.894	-1605.95999999999	
42404.6770833333	56.624	-1329.47999999999	
42404.6979166667	56.084	-1297.07999999999	
42405.375	43.799	-1181.51999999999	
42405.3854166667	45.554	-1234.5696	
42405.3958333333	47.309	-881.452799999996	
42405.40625	49.064	-980.553600000005	
42405.4166666667	50.357	-1033.17119999999	
42405.4270833333	51.122	-1116.28800000001	
42405.4375	51.887	-1268.0064	
42405.4479166667	52.652	-1306.1088	
42405.4583333333	53.291	-1283.34239999999	
42405.46875	53.786	-512.956799999996	
42405.4791666667	54.281	-1189.08	
42405.4895833333	54.776	-1124.28	
42405.5	55.145	-664.070399999999	
42405.5104166667	55.37	-531.360000000005	
42405.5208333333	55.595	-636.076799999985	
42405.53125	55.82	-1186.92	
42405.5416666667	56.066	-781.920000000004	
42405.5520833333	56.336	-99.3599999999986	
42405.5625	56.606	-351.561599999997	
42405.5729166667	56.876	-485.956799999989	
42405.5833333333	57.125	-1365.37919999999	
42405.59375	57.35	-1179.36	
42405.6041666667	57.575	-1417.7376	
42405.6145833333	57.8	-881.193599999991	
42405.625	58.046	-618.408000000009	
42405.6354166667	58.316	-379.295999999991	
42405.6458333333	58.586	-1083.97439999999	
42405.65625	58.856	-930.873599999998	
42405.6666666667	58.769	-932.601600000009	
42405.6770833333	58.274	-1046.8224	
42405.6875	57.779	-1494.72	
42405.6979166667	57.284	-1263.08160000001	
42408.375	49.277	5840.64	
42408.3854166667	50.042	5746.9392	
42408.3958333333	50.807	-1029.11040000001	
42408.40625	51.572	-1151.53920000001	
42408.4166666667	52.337	-90.7200000000034	
42408.4270833333	53.102	-828.359999999996	
42408.4375	53.867	-1140.13439999999	
42408.4479166667	54.632	-1250.81280000001	
42408.4583333333	55.145	-627.955200000001	
42408.46875	55.37	-616.075200000005	
42408.4791666667	55.595	-956.491199999995	
42408.4895833333	55.82	-999.47520000001	
42408.5	56.171	-1283.6448	
42408.5104166667	56.666	-888.839999999993	
42408.5208333333	57.161	-1271.20320000001	
42408.53125	57.656	-1134	
42408.5416666667	58.172	-984.960000000007	
42408.5520833333	58.712	-1277.0784	
42408.5625	59.252	-1419.11999999999	
42408.5729166667	59.792	-1302.48	
42408.5833333333	60.08	-923.400000000004	
42408.59375	60.08	-1162.16640000001	
42408.6041666667	60.08	-1205.28	
42408.6145833333	60.08	-1218.24	
42408.625	60.08	-1441.79999999999	
42408.6354166667	60.08	-738.2448	
42408.6458333333	60.08	-1043.27999999999	
42408.65625	60.08	-1046.86560000001	
42408.6666666667	60.08	-1152.31679999999	
42408.6770833333	60.08	-1514.16	
42408.6875	60.08	-1412.4672	
42408.6979166667	60.08	-1379.6352	
42409.375	44.753	-795.3984	
42409.3854166667	46.238	-1264.8096	
42409.3958333333	47.723	-1156.68	
42409.40625	49.208	-1162.7712	
42409.4166666667	50.588	-78.8399999999928	
42409.4270833333	51.848	-792.719999999994	
42409.4375	53.108	-834.19199999999	
42409.4479166667	54.368	-961.372800000009	
42409.4583333333	55.376	-856.871999999991	
42409.46875	56.096	-1255.2192	
42409.4791666667	56.816	-1280.7936	
42409.4895833333	57.536	-1102.85280000001	
42409.5	58.277	-1204.0704	
42409.5104166667	59.042	-1086.65280000001	
42409.5208333333	59.807	-1153.3104	
42409.53125	60.572	-1181.6928	
42409.5416666667	61.211	-970.920000000001	
42409.5520833333	61.706	-424.440000000001	
42409.5625	62.201	-786.239999999994	
42409.5729166667	62.696	-1248.48000000001	
42409.5833333333	63.317	-1208.73599999999	
42409.59375	64.082	-737.078399999998	
42409.6041666667	64.847	-671.76	
42409.6145833333	65.612	-460.080000000002	
42409.625	66.125	-534.85920000001	
42409.6354166667	66.35	-760.233599999996	
42409.6458333333	66.575	-1056.23999999999	
42409.65625	66.8	-757.079999999993	
42409.6666666667	66.92	-734.400000000007	
42409.6770833333	66.92	-809.395200000008	
42409.6875	66.92	-755.049599999993	
42409.6979166667	66.92	-487.079999999993	
42410.375	50.462	2451.25439999999	
42410.3854166667	51.452	2882.56320000001	
42410.3958333333	52.442	-811.080000000005	
