Date	OADryBulbTemperatureNOAA	VariableTotalPower	FanplusCoolingEnergyAHUActualExponent2forAHU23
42522.375	76.277	22429.9835272909	35370.5088
42522.3854166667	77.042	22012.3501404039	35854.71555
42522.3958333333	77.807	22729.1278370746	39512.6115333333
42522.40625	78.572	24015.630908371	44486.0643333334
42522.4166666667	78.7175	23221.8406571393	59296.32
42522.4270833333	78.155	25607.7967648792	44814.4181333333
42522.4375	79.1208695652174	24489.1041289535	52206.1040833333
42522.4479166667	80.1773913043478	28893.9552984923	61554.8448833334
42522.4583333333	81.17	31269.067416189	62600.58075
42522.46875	81.62	34175.1740312582	52786.1800833333
42522.4791666667	82.04	41448.1678297185	54222.5236833334
42522.4895833333	82.04	40696.1817004454	73183.1168833333
42522.5	82.376	39374.8449357488	70856.5845333333
42522.5104166667	83.096	41497.7891601042	62796.9936833333
42522.5208333333	83.816	42279.2239868328	45201.7160833333
42522.53125	84.536	41749.0775070613	45293.196
42522.5416666667	85.046	39996.9029603542	57794.1219333334
42522.5520833333	85.316	45285.4782726849	73462.15155
42522.5625	85.586	40899.0377274742	72023.3741333333
42522.5729166667	85.856	38868.4509348887	72293.715
42522.5833333333	86.126	42554.0281084825	56138.4077333333
42522.59375	86.396	44893.7916568503	48818.8131333334
42522.6041666667	86.666	48047.0563500978	74000.6500833334
42522.6145833333	86.936	50302.4876727836	76521.5907333333
42522.625	86.8	49441.18981827	66226.4728833334
42522.6354166667	86.2	46030.0273396157	56762.6453333334
42522.6458333333	81.8705882352941	27837.244207597	76793.9356833333
42522.65625	76.6538461538462	23281.3170876513	77877.5603333333
42522.6666666667	75.92	26453.710380053	73510.848
42522.6770833333	75.92	27772.2979781795	57137.4076833333
42522.6875	75.92	27556.3001800455	47483.2568833333
42522.6979166667	75.92	25801.112552207	69272.112
42523.375	69.311	23586.417695963	35126.5278
42523.3854166667	69.806	24303.1093115267	34639.4012833334
42523.3958333333	70.301	24496.8073894961	41178.35475
42523.40625	70.796	24685.7039592981	42899.8494
42523.4166666667	71.06	24600.3457708002	40873.728
42523.4270833333	71.06	26732.4186907826	41603.2608
42523.4375	71.06	27189.1735073724	50729.88555
42523.4479166667	71.06	25862.4151833661	55267.5669333333
42523.4583333333	71.6626086956522	24833.1451765823	48188.41875
42523.46875	72.9539130434783	26180.3369979083	44029.2228833334
42523.4791666667	73.5542857142857	26376.9835909207	63341.05395
42523.4895833333	75.0971428571429	23907.5012360148	64561.8840833333
42523.5	76.865	21554.8514797865	45582.62715
42523.5104166667	77	23223.9544603545	37778.29875
42523.5208333333	77	23201.2038463507	44475.6576833333
42523.53125	77	23752.274332682	48604.8512833334
42523.5416666667	78.98	22946.6935911038	51848.7203333333
42523.5520833333	77.9192857142857	22827.7395130722	59449.6723333333
42523.5625	76.9136	22309.6533851485	63175.7368833333
42523.5729166667	76.2656	21137.9720235202	64087.2789333333
42523.5833333333	76.277	21687.7536361712	52924.9712833333
42523.59375	77.042	22568.1009704439	50745.9
42523.6041666667	77.807	22611.6017205384	55192.1934
42523.6145833333	78.572	22990.0263708456	69128.59395
42523.625	79.106	22393.2698696198	70956.14835
42523.6354166667	79.376	21229.332919355	56946.3733333333
42523.6458333333	79.646	20456.4156551115	51702.3822
42523.65625	79.916	20337.2339989468	62594.60355
42523.6666666667	80.06	20979.518100194	67702.3564833333
42523.6770833333	80.06	21636.1862616969	61793.4133333333
42523.6875	80.06	22492.8827775044	49920.8717333333
42523.6979166667	80.06	25615.8800391525	66576.9256833333
42524.375	71.291	24791.578004951	39949.5198
42524.3854166667	71.786	23628.130514368	38300.5752833333
42524.3958333333	72.281	24739.2841091219	43352.0046
42524.40625	72.776	24903.4769214216	44752.31355
42524.4166666667	73.04	25619.8808218332	45819.32475
42524.4270833333	73.04	25183.5544518816	51246.2349333333
42524.4375	73.6571428571429	24212.0738772945	62740.5534
42524.4479166667	74.8142857142857	25605.6619296013	64848.1768833334
42524.4583333333	75.92	26555.4363538556	54427.4189333333
42524.46875	76.531320754717	27521.6924886513	51726.0323333334
42524.4791666667	77.142641509434	27542.4272152412	62171.7108833333
42524.4895833333	77.7539622641509	27254.4194034277	64525.3813333333
42524.5	78.311	27761.0224280564	58190.1653333334
42524.5104166667	78.806	27906.663829676	41811.6365333333
42524.5208333333	79.301	26726.5169490104	40664.9720833333
42524.53125	79.796	26835.777685075	50997.0256833333
42524.5416666667	79.934	28121.2804525066	61336.7187333333
42524.5520833333	79.664	28132.7322017597	70330.2264
42524.5625	79.394	27565.3734703982	69128.47875
42524.5729166667	79.124	26382.2825888241	65104.5860833333
42524.5833333333	78.98	23236.994352434	63066.83115
42524.59375	78.98	21932.6054300131	61789.2429333333
42524.6041666667	78.98	23393.3644676383	60402.3132833333
42524.6145833333	78.98	24354.4236731252	60219.39195
42524.625	79.337	25490.0944507321	58430.0853333333
42524.6354166667	80.102	25819.4091718818	54607.4195333333
