Fpri,DeltaT_0,DeltaT_10,DeltaT_20,DeltaT_30,DeltaT_40
0,1,1,1,1,1
0.01,1.0102,1.0103,1.0106,1.0111,1.0118
0.02,1.0206,1.021,1.0223,1.0244,1.0274
0.03,1.0314,1.0324,1.0353,1.0402,1.047
0.04,1.0425,1.0443,1.0497,1.0586,1.071
0.05,1.0539,1.0569,1.0655,1.0798,1.0996
0.06,1.0657,1.0701,1.0829,1.104,1.1329
0.07,1.0779,1.084,1.1019,1.1313,1.1711
0.08,1.0904,1.0986,1.1227,1.1618,1.2145
0.09,1.1033,1.114,1.1454,1.1958,1.2631
0.1,1.1167,1.1302,1.17,1.2334,1.3171
0.11,1.1304,1.1473,1.1967,1.2747,1.3765
0.12,1.1445,1.1653,1.2256,1.3199,1.4416
0.13,1.1591,1.1843,1.2568,1.3691,1.5124
0.14,1.1741,1.2043,1.2904,1.4225,1.5891
0.15,1.1896,1.2253,1.3267,1.4802,1.6717
0.16,1.2056,1.2475,1.3656,1.5424,1.7604
0.17,1.2221,1.271,1.4074,1.6092,1.8553
0.18,1.2391,1.2957,1.4521,1.6809,1.9567
0.19,1.2567,1.3217,1.5,1.7575,2.0646
0.2,1.2748,1.3492,1.5512,1.8392,2.1794
0.21,1.2934,1.3782,1.6058,1.9264,2.3013
0.22,1.3127,1.4088,1.6641,2.0191,2.4305
0.23,1.3326,1.4411,1.7262,2.1177,2.5674
0.24,1.3532,1.4752,1.7923,2.2223,2.7122
0.25,1.3744,1.5113,1.8626,2.3333,2.8653
0.26,1.3963,1.5493,1.9373,2.451,3.0271
0.27,1.4189,1.5896,2.0167,2.5757,3.1981
0.28,1.4423,1.6321,2.101,2.7077,3.3787
0.29,1.4665,1.677,2.1905,2.8474,3.5694
0.3,1.4915,1.7246,2.2854,2.9953,3.7709
0.31,1.5173,1.7749,2.3862,3.1518,3.9836
0.32,1.544,1.8281,2.4931,3.3173,4.2083
0.33,1.5717,1.8844,2.6065,3.4925,4.4456
0.34,1.6003,1.9441,2.7267,3.6779,4.6964
0.35,1.63,2.0073,2.8543,3.8742,4.9615
0.36,1.6607,2.0743,2.9896,4.082,5.2419
0.37,1.6925,2.1454,3.1332,4.302,5.5384
0.38,1.7254,2.2207,3.2856,4.5351,5.8522
0.39,1.7596,2.3007,3.4474,4.7822,6.1846
0.4,1.7951,2.3857,3.6192,5.0442,6.5367
0.41,1.8318,2.4759,3.8018,5.3223,6.91
0.42,1.87,2.5719,3.9959,5.6174,7.306
0.43,1.9097,2.674,4.2024,5.9309,7.7265
0.44,1.9509,2.7827,4.4221,6.2642,8.1732
0.45,1.9938,2.8985,4.6561,6.6188,8.6481
0.46,2.0384,3.0219,4.9054,6.9963,9.1536
0.47,2.0848,3.1537,5.1714,7.3986,9.6919
0.48,2.1331,3.2943,5.4552,7.8276,10.266
0.49,2.1835,3.4447,5.7585,8.2856,10.878
0.5,2.2361,3.6056,6.0828,8.775,11.533
0.51,2.2909,3.7778,6.4299,9.2985,12.232
0.52,2.3482,3.9625,6.8018,9.8591,12.981
0.53,2.408,4.1607,7.2007,10.46,13.784
0.54,2.4706,4.3737,7.6292,11.105,14.646
0.55,2.5362,4.6028,8.09,11.799,15.572
0.56,2.6048,4.8496,8.5861,12.546,16.569
0.57,2.6768,5.1159,9.121,13.35,17.643
0.58,2.7524,5.4035,9.6986,14.219,18.802
0.59,2.8319,5.7147,10.323,15.158,20.055
0.6,2.9155,6.0519,11,16.175,21.413
0.61,3.0035,6.4179,11.734,17.278,22.885
0.62,3.0963,6.816,12.533,18.478,24.485
0.63,3.1943,7.2497,13.402,19.784,26.228
0.64,3.298,7.7233,14.352,21.209,28.129
0.65,3.4077,8.2415,15.39,22.768,30.209
0.66,3.524,8.8098,16.529,24.478,32.489
0.67,3.6476,9.4345,17.78,26.356,34.994
0.68,3.7791,10.123,19.159,28.426,37.755
0.69,3.9192,10.884,20.683,30.713,40.805
0.7,4.0689,11.728,22.372,33.248,44.185
0.71,4.229,12.666,24.25,36.067,47.944
0.72,4.4008,13.713,26.346,39.211,52.137
0.73,4.5856,14.885,28.692,42.731,56.831
0.74,4.7847,16.204,31.33,46.689,62.109
0.75,5,17.692,34.307,51.157,68.066
0.76,5.2334,19.38,37.685,56.223,74.822
0.77,5.4874,21.304,41.534,61.998,82.522
0.78,5.7647,23.509,45.945,68.616,91.346
0.79,6.0686,26.051,51.03,76.244,101.52
0.8,6.4031,29,56.93,85.094,113.32
0.81,6.7731,32.446,63.824,95.436,127.11
0.82,7.1845,36.506,71.943,107.62,143.35
0.83,7.6446,41.329,81.591,122.09,162.64
0.84,8.1624,47.116,93.166,139.45,185.79
0.85,8.7496,54.138,107.21,160.52,213.88
0.86,9.421,62.763,124.46,186.39,248.39
0.87,10.196,73.513,145.96,218.65,291.39
0.88,11.101,87.134,173.2,259.51,345.87
0.89,12.17,104.73,208.4,312.3,416.26
0.9,13.454,127.99,254.91,382.07,509.29
0.91,15.023,159.59,318.12,476.88,635.7
0.92,16.985,204,406.94,610.12,813.35
0.93,19.509,269.12,537.18,805.47,1073.8
0.94,22.874,369.97,738.89,1108,1477.2
0.95,27.586,538.11,1075.2,1612.4,2149.8
0.96,34.655,849.24,1697.4,2545.8,3394.3
0.97,46.439,1524.9,3048.8,4572.9,6097
0.98,70.007,3465.5,6930,10395,13859
0.99,140.72,14001,28002,42002,56003
