Fpri,delT_0,delT_0.4,delT_0.8,delT_1.2,delT_1.6,delT_2
0,NaN,1,1,1,1,1
0.01,Inf,1.0103,1.0102,1.0102,1.0102,1.0102
0.02,Inf,1.0213,1.0208,1.0207,1.0207,1.0206
0.03,Inf,1.0329,1.0318,1.0316,1.0315,1.0315
0.04,Inf,1.0453,1.0432,1.0428,1.0427,1.0426
0.05,Inf,1.0585,1.0551,1.0545,1.0542,1.0541
0.06,Inf,1.0725,1.0674,1.0665,1.0662,1.066
0.07,Inf,1.0874,1.0803,1.079,1.0785,1.0783
0.08,Inf,1.1032,1.0936,1.0919,1.0912,1.0909
0.09,Inf,1.1199,1.1075,1.1052,1.1044,1.104
0.1,Inf,1.1378,1.122,1.119,1.118,1.1175
0.11,Inf,1.1567,1.137,1.1333,1.132,1.1314
0.12,Inf,1.1768,1.1527,1.1482,1.1466,1.1458
0.13,Inf,1.1982,1.169,1.1635,1.1616,1.1607
0.14,Inf,1.2209,1.186,1.1794,1.1771,1.176
0.15,Inf,1.245,1.2037,1.1959,1.1932,1.1919
0.16,Inf,1.2705,1.2222,1.213,1.2098,1.2083
0.17,Inf,1.2976,1.2414,1.2307,1.227,1.2252
0.18,Inf,1.3264,1.2615,1.2491,1.2447,1.2427
0.19,Inf,1.3569,1.2825,1.2682,1.2632,1.2608
0.2,Inf,1.3893,1.3043,1.288,1.2822,1.2795
0.21,Inf,1.4237,1.3272,1.3085,1.302,1.2989
0.22,Inf,1.4601,1.3511,1.3299,1.3224,1.3189
0.23,Inf,1.4987,1.376,1.3521,1.3436,1.3396
0.24,Inf,1.5397,1.4021,1.3751,1.3656,1.3611
0.25,Inf,1.5831,1.4294,1.3991,1.3883,1.3833
0.26,Inf,1.6291,1.458,1.424,1.412,1.4063
0.27,Inf,1.678,1.4879,1.45,1.4365,1.4302
0.28,Inf,1.7297,1.5193,1.477,1.4619,1.4549
0.29,Inf,1.7846,1.5521,1.5052,1.4884,1.4805
0.3,Inf,1.8428,1.5866,1.5345,1.5158,1.5071
0.31,Inf,1.9045,1.6228,1.5651,1.5444,1.5347
0.32,Inf,1.97,1.6608,1.597,1.574,1.5633
0.33,Inf,2.0394,1.7007,1.6303,1.6049,1.5931
0.34,Inf,2.113,1.7427,1.6651,1.6371,1.624
0.35,Inf,2.1912,1.7869,1.7015,1.6706,1.6561
0.36,Inf,2.2742,1.8334,1.7395,1.7055,1.6895
0.37,Inf,2.3622,1.8824,1.7794,1.7419,1.7243
0.38,Inf,2.4558,1.9341,1.8211,1.7799,1.7605
0.39,Inf,2.5552,1.9886,1.8648,1.8196,1.7982
0.4,Inf,2.6609,2.0461,1.9107,1.861,1.8375
0.41,Inf,2.7732,2.107,1.9589,1.9044,1.8786
0.42,Inf,2.8928,2.1714,2.0095,1.9497,1.9214
0.43,Inf,3.0201,2.2395,2.0628,1.9973,1.9662
0.44,Inf,3.1556,2.3117,2.1189,2.0471,2.013
0.45,Inf,3.3001,2.3883,2.178,2.0994,2.062
0.46,Inf,3.4542,2.4696,2.2403,2.1543,2.1133
0.47,Inf,3.6187,2.5561,2.3062,2.2121,2.1671
