Fpri,Vunc0,Vunc0.04,Vunc0.08,Vunc0.12,Vunc0.16,Vunc0.2
0,1,1,1,1,1,1
0.01,1.0102,1.0102,1.0102,1.0102,1.0102,1.0103
0.02,1.0206,1.0206,1.0207,1.0208,1.0209,1.021
0.03,1.0314,1.0314,1.0315,1.0317,1.032,1.0324
0.04,1.0425,1.0426,1.0428,1.0431,1.0437,1.0443
0.05,1.0539,1.0541,1.0544,1.055,1.0558,1.0569
0.06,1.0657,1.0659,1.0664,1.0673,1.0685,1.0701
0.07,1.0779,1.0781,1.0789,1.0801,1.0818,1.084
0.08,1.0904,1.0908,1.0917,1.0934,1.0957,1.0986
0.09,1.1033,1.1038,1.1051,1.1072,1.1102,1.114
0.1,1.1167,1.1172,1.1188,1.1216,1.1254,1.1302
0.11,1.1304,1.1311,1.1331,1.1365,1.1412,1.1473
0.12,1.1445,1.1454,1.1479,1.152,1.1579,1.1653
0.13,1.1591,1.1601,1.1632,1.1682,1.1753,1.1843
0.14,1.1741,1.1754,1.179,1.1851,1.1935,1.2043
0.15,1.1896,1.1911,1.1954,1.2026,1.2126,1.2253
0.16,1.2056,1.2073,1.2124,1.2209,1.2326,1.2475
0.17,1.2221,1.2241,1.2301,1.2399,1.2536,1.271
0.18,1.2391,1.2414,1.2483,1.2598,1.2756,1.2957
0.19,1.2567,1.2593,1.2673,1.2805,1.2987,1.3217
0.2,1.2748,1.2778,1.287,1.302,1.3229,1.3492
0.21,1.2934,1.2969,1.3074,1.3246,1.3483,1.3782
0.22,1.3127,1.3167,1.3286,1.3481,1.375,1.4088
0.23,1.3326,1.3371,1.3506,1.3727,1.403,1.4411
0.24,1.3532,1.3582,1.3734,1.3983,1.4325,1.4752
0.25,1.3744,1.3801,1.3972,1.4252,1.4635,1.5113
0.26,1.3963,1.4027,1.4219,1.4532,1.496,1.5493
0.27,1.4189,1.4261,1.4476,1.4826,1.5303,1.5896
0.28,1.4423,1.4504,1.4743,1.5134,1.5664,1.6321
0.29,1.4665,1.4755,1.5022,1.5456,1.6044,1.677
0.3,1.4915,1.5015,1.5312,1.5794,1.6445,1.7246
0.31,1.5173,1.5285,1.5614,1.6148,1.6867,1.7749
0.32,1.544,1.5564,1.5929,1.6519,1.7312,1.8281
0.33,1.5717,1.5854,1.6258,1.691,1.7782,1.8844
0.34,1.6003,1.6155,1.6601,1.732,1.8278,1.9441
0.35,1.63,1.6467,1.696,1.7751,1.8802,2.0073
0.36,1.6607,1.6792,1.7335,1.8204,1.9356,2.0743
0.37,1.6925,1.7129,1.7727,1.8682,1.9942,2.1454
0.38,1.7254,1.7479,1.8138,1.9185,2.0562,2.2207
0.39,1.7596,1.7844,1.8568,1.9716,2.1219,2.3007
0.4,1.7951,1.8224,1.9019,2.0276,2.1915,2.3857
0.41,1.8318,1.8619,1.9492,2.0867,2.2652,2.4759
0.42,1.87,1.9031,1.999,2.1493,2.3436,2.5719
0.43,1.9097,1.946,2.0512,2.2154,2.4267,2.674
0.44,1.9509,1.9909,2.1062,2.2855,2.5151,2.7827
0.45,1.9938,2.0377,2.1641,2.3598,2.6092,2.8985
0.46,2.0384,2.0866,2.2252,2.4386,2.7093,3.0219
0.47,2.0848,2.1378,2.2896,2.5223,2.816,3.1537
0.48,2.1331,2.1914,2.3577,2.6113,2.9298,3.2943
0.49,2.1835,2.2476,2.4297,2.7061,3.0513,3.4447
0.5,2.2361,2.3065,2.506,2.8071,3.1812,3.6056
0.51,2.2909,2.3684,2.5869,2.9149,3.3202,3.7778
0.52,2.3482,2.4334,2.6728,3.0301,3.469,3.9625
0.53,2.408,2.5018,2.7642,3.1533,3.6286,4.1607
0.54,2.4706,2.5739,2.8615,3.2853,3.8,4.3737
0.55,2.5362,2.65,2.9653,3.4269,3.9843,4.6028
0.56,2.6048,2.7303,3.0761,3.579,4.1827,4.8496
0.57,2.6768,2.8153,3.1948,3.7427,4.3966,5.1159
0.58,2.7524,2.9053,3.322,3.9192,4.6275,5.4035
0.59,2.8319,3.0009,3.4586,4.1096,4.8773,5.7147
0.6,2.9155,3.1024,3.6056,4.3157,5.1478,6.0519
0.61,3.0035,3.2106,3.764,4.5389,5.4414,6.4179
0.62,3.0963,3.326,3.9353,4.7813,5.7606,6.816
0.63,3.1943,3.4493,4.1208,5.045,6.1083,7.2497
0.64,3.298,3.5815,4.3221,5.3324,6.4878,7.7233
0.65,3.4077,3.7235,4.5411,5.6466,6.9029,8.2415
0.66,3.524,3.8764,4.7801,5.9907,7.3581,8.8098
0.67,3.6476,4.0414,5.0416,6.3686,7.8585,9.4345
0.68,3.7791,4.2201,5.3285,6.7847,8.4099,10.123
0.69,3.9192,4.4141,5.6442,7.2442,9.0193,10.884
0.7,4.0689,4.6255,5.9928,7.7531,9.6947,11.728
0.71,4.229,4.8566,6.379,8.3187,10.446,12.666
0.72,4.4008,5.1102,6.8085,8.9494,11.284,13.713
0.73,4.5856,5.3897,7.288,9.6553,12.222,14.885
0.74,4.7847,5.6991,7.8256,10.449,13.277,16.204
