Run,TS,OATthreshold,DP,Order,RunParams,AverageCV,AverageCV(usingmaxasnormalization),AverageCVUsingRange
27,4,5,45,1,4-5-45,0.442564257,0.156326177,0.116284223
18,4,5,30,2,4-5-30,0.443358395,0.156577019,0.116553412
8,2,5,15,3,2-5-15,0.447321446,0.157984733,0.117654395
17,2,5,30,4,2-5-30,0.447965482,0.158463679,0.117952525
7,1,5,15,5,1-5-15,0.449804499,0.158981712,0.118429838
9,4,5,15,6,4-5-15,0.454301307,0.159885957,0.119031688
15,4,3,30,7,4-3-30,0.452492446,0.16004711,0.119283951
24,4,3,45,8,4-3-45,0.453968749,0.160947445,0.119330657
6,4,3,15,9,4-3-15,0.457391103,0.161043779,0.119915283
26,2,5,45,10,2-5-45,0.456396826,0.16181864,0.120131656
5,2,3,15,11,2-3-15,0.458111927,0.161891862,0.120401931
25,1,5,45,12,1-5-45,0.45673078,0.162603055,0.120755002
16,1,5,30,13,1-5-30,0.45972753,0.163049247,0.120910336
14,2,3,30,14,2-3-30,0.46123783,0.163616248,0.121368836
23,2,3,45,15,2-3-45,0.482448231,0.164515957,0.121969134
4,1,3,15,16,1-3-15,0.464811293,0.16462321,0.122826023
22,1,3,45,17,1-3-45,0.466675882,0.166003958,0.123735209
13,1,3,30,18,1-3-30,0.472438565,0.16762094,0.125063894
3,4,1,15,19,4-1-15,0.479805606,0.169640151,0.126652026
21,4,1,45,20,4-1-45,0.48065209,0.170522291,0.127285487
12,4,1,30,21,4-1-30,0.481905146,0.17083591,0.127392721
2,2,1,15,22,2-1-15,0.493870592,0.174770867,0.130581528
11,2,1,30,23,2-1-30,0.494866832,0.175340278,0.131027235
20,2,1,45,24,2-1-45,0.500587373,0.177419301,0.132494437
19,1,1,45,25,1-1-45,0.503170296,0.178671444,0.133404363
1,1,1,15,26,1-1-15,0.505372108,0.17898937,0.133759125
10,1,1,30,27,1-1-30,0.510533499,0.180769193,0.135061795
