Run,Order,TS,OAT threshold,DP,Average CV,AverageRMSERange
6,1,4,3,15,0.01762,0.08971
9,2,4,5,15,0.01768,0.08976
18,3,4,5,30,0.01766,0.08996
27,4,4,5,45,0.01781,0.09078
15,5,4,3,30,0.01793,0.09158
8,6,2,5,15,0.01804,0.09177
17,7,2,5,30,0.01819,0.09255
7,8,1,5,15,0.01824,0.09276
24,9,4,3,45,0.01828,0.09317
12,10,4,1,30,0.01849,0.09392
5,11,2,3,15,0.01841,0.09407
26,12,2,5,45,0.01880,0.09521
23,13,2,3,45,0.01991,0.09583
16,14,1,5,30,0.01899,0.09606
4,15,1,3,15,0.01896,0.09613
14,16,2,3,30,0.01897,0.09632
2,17,2,1,15,0.01909,0.09677
25,18,1,5,45,0.01925,0.09743
3,19,4,1,15,0.01803,0.09797
21,20,4,1,45,0.01931,0.09797
13,21,1,3,30,0.01975,0.09948
11,22,2,1,30,0.02005,0.10067
22,23,1,3,45,0.01997,0.10076
1,24,1,1,15,0.02016,0.10120
20,25,2,1,45,0.02100,0.10473
10,26,1,1,30,0.02132,0.10585
19,27,1,1,45,0.02155,0.10752

