Date,OADryBulbTemperatureNOAA_F,ZoneLoadforFPVAV23_BTU_hr,ZoneloadpredictionforFPVAV23_BTU_hr
1/2/2016 12:00:00 AM,44.06,nan,6075
1/2/2016 1:00:00 AM,44.06,0,5832
1/2/2016 2:00:00 AM,44.165,-7776,5832
1/2/2016 3:00:00 AM,44.855,-8748,5832
1/2/2016 4:00:00 AM,44.165,-10692,5832
1/2/2016 5:00:00 AM,44.96,-10206,5832
1/2/2016 6:00:00 AM,44.96,-2916,5832
1/2/2016 7:00:00 AM,44.855,-10206,5832
1/2/2016 8:00:00 AM,44.291,-11178,5346
1/2/2016 9:00:00 AM,46.04,-11664,6318
1/2/2016 10:00:00 AM,46.271,-10692,6318
1/2/2016 11:00:00 AM,48.02,-10692,5832
1/2/2016 12:00:00 PM,48.125,-10206,5346
1/2/2016 1:00:00 PM,48.92,-3402,5346
1/2/2016 2:00:00 PM,48.92,-2916,5346
1/2/2016 3:00:00 PM,48.815,-11178,5103
1/2/2016 4:00:00 PM,48.02,-9234,5103
1/2/2016 5:00:00 PM,47.894,-3888,4860
1/2/2016 6:00:00 PM,46.835,-12636,4860
1/2/2016 7:00:00 PM,46.04,-12150,4617
1/2/2016 8:00:00 PM,45.914,-8262,4617
1/2/2016 9:00:00 PM,44.855,-15552,4374
1/2/2016 10:00:00 PM,44.06,-17982,4860
1/2/2016 11:00:00 PM,44.06,-17010,3888
1/3/2016 12:00:00 AM,44.06,nan,3888
1/3/2016 1:00:00 AM,44.06,-11664,3402
1/3/2016 2:00:00 AM,44.06,-13608,-972
1/3/2016 3:00:00 AM,44.06,-13608,-1944
1/3/2016 4:00:00 AM,43.934,-12636,-1944
1/3/2016 5:00:00 AM,42.98,-13608,-972
1/3/2016 6:00:00 AM,43.106,-12636,-1944
1/3/2016 7:00:00 AM,44.06,-13608,-2187
1/3/2016 8:00:00 AM,44.291,-13608,-2187
1/3/2016 9:00:00 AM,46.502,-12150,2430
1/3/2016 10:00:00 AM,50.231,-1458,5346
1/3/2016 11:00:00 AM,52.442,1458,5832
1/3/2016 12:00:00 PM,56.171,-4374,5346
1/3/2016 1:00:00 PM,58.046,-4374,5346
1/3/2016 2:00:00 PM,59.126,1458,5103
1/3/2016 3:00:00 PM,60.08,1944,4860
1/3/2016 4:00:00 PM,59.828,1458,5103
1/3/2016 5:00:00 PM,57.353,-2430,5589
1/3/2016 6:00:00 PM,52.703,-2430,4374
1/3/2016 7:00:00 PM,49.874,-1458,4860
1/3/2016 8:00:00 PM,48.584,-2916,4860
1/3/2016 9:00:00 PM,45.809,-9234,4374
1/3/2016 10:00:00 PM,44.291,-10206,4374
