Date,OADryBulbTemperatureNOAA_F,ZoneLoadforFPVAV14_BTU_hr,ZoneLoadPredictionforFPVAV14_BTU_hr
1/19/2016 8:00:00 AM,47.528,-9450,-1134
1/19/2016 9:00:00 AM,52.673,-1134,-756
1/19/2016 10:00:00 AM,58.403,-1890,0
1/19/2016 11:00:00 AM,62.522,756,0
1/19/2016 12:00:00 PM,66.125,756,-378
1/19/2016 1:00:00 PM,66.92,7560,-567
1/19/2016 2:00:00 PM,67.046,4914,-378
1/19/2016 3:00:00 PM,68,378,378
1/19/2016 4:00:00 PM,67.769,1134,378
1/19/2016 5:00:00 PM,65.789,1512,-378
1/20/2016 8:00:00 AM,43.106,1890,-378
1/20/2016 9:00:00 AM,44.291,0,-378
1/20/2016 10:00:00 AM,46.04,2268,0
1/20/2016 11:00:00 AM,47.423,2646,0
1/20/2016 12:00:00 PM,51.3841379310345,3024,378
1/20/2016 1:00:00 PM,54.191,3402,756
1/20/2016 2:00:00 PM,56.171,1890,0
1/20/2016 3:00:00 PM,57.92,1134,0
1/20/2016 4:00:00 PM,58.235,378,-378
1/20/2016 5:00:00 PM,57.689,378,0
1/21/2016 8:00:00 AM,63.1890909090909,1512,1134
1/21/2016 9:00:00 AM,63.8662068965517,1134,1134
1/21/2016 10:00:00 AM,62.06,3780,1134
1/21/2016 11:00:00 AM,62.96,6048,1134
1/21/2016 12:00:00 PM,64.2981132075472,15498,1134
1/21/2016 1:00:00 PM,57.02,18144,378
1/21/2016 2:00:00 PM,57.02,11718,378
1/21/2016 3:00:00 PM,55.604,4914,378
1/21/2016 4:00:00 PM,52.64,4158,378
1/21/2016 5:00:00 PM,50.723,2646,378
1/22/2016 8:00:00 AM,39.125,-8316,-756
1/22/2016 9:00:00 AM,40.277,-7560,-756
1/22/2016 10:00:00 AM,43.211,0,0
1/22/2016 11:00:00 AM,45.317,-756,189
1/22/2016 12:00:00 PM,48.125,-756,378
1/22/2016 1:00:00 PM,49.046,-756,378
1/22/2016 2:00:00 PM,50.126,-1134,378
1/25/2016 8:00:00 AM,56.654,-8694,-2268
1/25/2016 9:00:00 AM,62.522,-2646,nan
1/25/2016 10:00:00 AM,66.44,-1134,nan
1/25/2016 11:00:00 AM,69.1668965517241,378,nan
1/25/2016 12:00:00 PM,69.185,378,nan
1/25/2016 1:00:00 PM,70.337,13608,nan
1/25/2016 2:00:00 PM,73.145,4536,nan
1/25/2016 3:00:00 PM,73.94,2268,nan
1/25/2016 4:00:00 PM,73.835,1512,nan
1/25/2016 5:00:00 PM,72.578,1134,nan
1/26/2016 8:00:00 AM,49.046,-7938,-1134
1/26/2016 9:00:00 AM,50.231,378,-1134
1/26/2016 10:00:00 AM,52.211,1890,-756
1/26/2016 11:00:00 AM,54.086,3024,-378
1/26/2016 12:00:00 PM,55.04,1890,0
1/26/2016 1:00:00 PM,55.04,3024,0
1/26/2016 2:00:00 PM,55.04,2646,-378
1/26/2016 3:00:00 PM,54.809,2646,-378
1/26/2016 4:00:00 PM,52.934,3402,0
1/26/2016 5:00:00 PM,51.875,2646,0
1/27/2016 7:00:00 AM,39.02,-1512,-378
1/27/2016 8:00:00 AM,39.377,-8316,-378
