SAT,TotalPower,CoolingPower,FanPower,Reheat,Zone1ActualFlow,Zone2ActualFlow
45,47269,41046,1038.7,5184,685.87,400
45.1,47206,41025,1040.7,5140.8,688.42,400
45.2,47144,41004,1042.7,5097.6,690.99,400
45.3,47082,40983,1044.8,5054.4,693.58,400
45.4,47020,40962,1046.8,5011.2,696.18,400
45.5,46959,40942,1048.9,4968,698.81,400
45.6,46897,40921,1051,4924.8,701.46,400
45.7,46836,40901,1053.1,4881.6,704.13,400
45.8,46775,40881,1055.3,4838.4,706.81,400
45.9,46714,40861,1057.4,4795.2,709.52,400
46,46653,40842,1059.6,4752,712.25,400
46.1,46593,40822,1061.8,4708.8,715,400
46.2,46533,40803,1064.1,4665.6,717.77,400
46.3,46473,40784,1066.4,4622.4,720.56,400
46.4,46413,40765,1068.7,4579.2,723.38,400
46.5,46353,40747,1071,4536,726.22,400
46.6,46294,40728,1073.3,4492.8,729.08,400
46.7,46235,40710,1075.7,4449.6,731.96,400
46.8,46176,40692,1078.1,4406.4,734.86,400
46.9,46117,40674,1080.6,4363.2,737.79,400
47,46059,40656,1083,4320,740.74,400
47.1,46001,40639,1085.5,4276.8,743.72,400
47.2,45943,40621,1088,4233.6,746.71,400
47.3,45885,40604,1090.6,4190.4,749.74,400
47.4,45828,40587,1093.2,4147.2,752.79,400
47.5,45770,40571,1095.8,4104,755.86,400
47.6,45713,40554,1098.5,4060.8,758.96,400
47.7,45657,40538,1101.1,4017.6,762.08,400
47.8,45600,40522,1103.9,3974.4,765.23,400
47.9,45544,40506,1106.6,3931.2,768.4,400
48,45488,40491,1109.4,3888,771.6,400
48.1,45432,40475,1112.2,3844.8,774.83,400
48.2,45377,40460,1115.1,3801.6,778.09,400
48.3,45322,40445,1117.9,3758.4,781.37,400
48.4,45267,40431,1120.9,3715.2,784.68,400
48.5,45212,40417,1123.8,3672,788.02,400
48.6,45158,40402,1126.8,3628.8,791.39,400
48.7,45104,40389,1129.9,3585.6,794.79,400
48.8,45050,40375,1133,3542.4,798.21,400
48.9,44997,40362,1136.1,3499.2,801.67,400
49,44944,40349,1139.2,3456,805.15,400
49.1,44891,40336,1142.4,3412.8,808.67,400
49.2,44838,40323,1145.7,3369.6,812.22,400
49.3,44786,40311,1149,3326.4,815.79,400
49.4,44734,40299,1152.3,3283.2,819.4,400
49.5,44683,40287,1155.7,3240,823.05,400
49.6,44632,40276,1159.1,3196.8,826.72,400
49.7,44581,40264,1162.6,3153.6,830.43,400
49.8,44530,40254,1166.1,3110.4,834.17,400
49.9,44480,40243,1169.7,3067.2,837.94,400
50,44430,40233,1173.3,3024,841.75,400
50.1,44380,40223,1176.9,2980.8,845.59,400
50.2,44331,40213,1180.6,2937.6,849.47,400
50.3,44282,40204,1184.4,2894.4,853.39,400
50.4,44234,40195,1188.2,2851.2,857.34,400
50.5,44186,40186,1192.1,2808,861.33,400
50.6,44138,40177,1196,2764.8,865.35,400
50.7,44091,40169,1200,2721.6,869.41,400
50.8,44044,40162,1204.1,2678.4,873.52,400
50.9,43997,40154,1208.1,2635.2,877.65,400
51,43951,40147,1212.3,2592,881.83,400
51.1,43906,40140,1216.5,2548.8,886.05,400
51.2,43860,40134,1220.8,2505.6,890.31,400
51.3,43815,40128,1225.1,2462.4,894.61,400
51.4,43771,40122,1229.5,2419.2,898.96,400
51.5,43727,40117,1234,2376,903.34,400
51.6,43683,40112,1238.6,2332.8,907.77,400
51.7,43640,40107,1243.2,2289.6,912.24,400
51.8,43597,40103,1247.8,2246.4,916.76,400
51.9,43555,40099,1252.6,2203.2,921.32,400
52,43513,40096,1257.4,2160,925.93,400
52.1,43472,40093,1262.3,2116.8,930.58,400
52.2,43431,40090,1267.3,2073.6,935.28,400
52.3,43391,40088,1272.3,2030.4,940.03,400
52.4,43351,40086,1277.4,1987.2,944.82,400
52.5,43312,40085,1282.6,1944,949.67,400
52.6,43273,40084,1287.9,1900.8,954.56,400
52.7,43235,40084,1293.3,1857.6,959.51,400
52.8,43197,40084,1298.8,1814.4,964.51,400
52.9,43160,40084,1304.3,1771.2,969.56,400
53,43123,40085,1309.9,1728,974.66,400
53.1,43087,40086,1315.7,1684.8,979.82,400
53.2,43051,40088,1321.5,1641.6,985.03,400
53.3,43016,40091,1327.4,1598.4,990.3,400
53.4,42982,40093,1333.4,1555.2,995.62,400
53.5,42948,40097,1339.5,1512,1001,400
53.6,42915,40100,1345.7,1468.8,1006.4,400
53.7,42882,40105,1352.1,1425.6,1011.9,400
53.8,42851,40110,1358.5,1382.4,1017.5,400
53.9,42819,40115,1365,1339.2,1023.1,400
54,42789,40121,1371.7,1296,1028.8,400
54.1,42759,40127,1378.4,1252.8,1034.6,400
54.2,42729,40134,1385.3,1209.6,1040.4,400
54.3,42701,40142,1392.3,1166.4,1046.2,400
54.4,42673,40150,1399.5,1123.2,1052.2,400
54.5,42646,40159,1406.7,1080,1058.2,400
54.6,42619,40168,1414.1,1036.8,1064.3,400
54.7,42593,40178,1421.6,993.6,1070.4,400
54.8,42568,40189,1429.2,950.4,1076.7,400
54.9,42544,40200,1437,907.2,1083,400
55,42521,40212,1445,864,1089.3,400
55.1,42498,40224,1453,820.8,1095.8,400
55.2,42476,40237,1461.3,777.6,1102.3,400
55.3,42455,40251,1469.6,734.4,1108.9,400
55.4,42435,40266,1478.2,691.2,1115.6,400
55.5,42416,40281,1486.9,648,1122.3,400
55.6,42397,40297,1495.7,604.8,1129.2,400
55.7,42380,40314,1504.8,561.6,1136.1,400
55.8,42363,40331,1514,518.4,1143.1,400
55.9,42348,40349,1523.3,475.2,1150.2,400
56,42333,40368,1532.9,432,1157.4,400
56.1,42319,40388,1542.7,388.8,1164.7,400
56.2,42306,40408,1552.6,345.6,1172.1,400
56.3,42295,40429,1562.8,302.4,1179.5,400
56.4,42284,40452,1573.1,259.2,1187.1,400
56.5,42274,40475,1583.7,216,1194.7,400
56.6,42266,40498,1594.4,172.8,1202.5,400
56.7,42258,40523,1605.4,129.6,1210.4,400
56.8,42252,40549,1616.7,86.4,1218.3,400
56.9,42247,40575,1628.1,43.2,1226.4,400
57,42242,40603,1639.8,0,1234.6,400
57.1,42353,40697,1655.6,0,1242.9,402.68
57.2,42465,40794,1671.8,0,1251.3,405.41
57.3,42579,40891,1688.4,0,1259.8,408.16
57.4,42695,40990,1705.4,0,1268.4,410.96
57.5,42812,41090,1722.8,0,1277.1,413.79
57.6,42932,41191,1740.7,0,1286,416.67
57.7,43053,41294,1758.9,0,1295,419.58
57.8,43176,41398,1777.7,0,1304.1,422.54
57.9,43301,41504,1796.8,0,1313.4,425.53
58,43428,41611,1816.5,0,1322.8,428.57
58.1,43557,41720,1836.7,0,1332.3,431.65
58.2,43688,41831,1857.4,0,1341.9,434.78
58.3,43821,41943,1878.6,0,1351.7,437.96
58.4,43957,42056,1900.3,0,1361.7,441.18
58.5,44095,42172,1922.7,0,1371.7,444.44
58.6,44235,42289,1945.6,0,1382,447.76
58.7,44377,42408,1969.1,0,1392.4,451.13
58.8,44522,42528,1993.3,0,1402.9,454.55
58.9,44669,42651,2018.1,0,1413.6,458.02
59,44819,42775,2043.6,0,1424.5,461.54
59.1,44971,42902,2069.7,0,1435.5,465.12
59.2,45127,43030,2096.6,0,1446.8,468.75
59.3,45285,43160,2124.2,0,1458.2,472.44
59.4,45445,43293,2152.6,0,1469.7,476.19
59.5,45609,43427,2181.9,0,1481.5,480
59.6,45776,43564,2211.9,0,1493.4,483.87
59.7,45946,43703,2242.8,0,1505.6,487.8
59.8,46119,43844,2274.6,0,1517.9,491.8
59.9,46295,43987,2307.3,0,1530.5,495.87
60,46474,44133,2341,0,1543.2,500
60.1,46657,44282,2375.6,0,1556.2,504.2
60.2,46844,44433,2411.3,0,1569.4,508.47
60.3,47034,44586,2448.1,0,1582.8,512.82
60.4,47228,44742,2486,0,1596.4,517.24
60.5,47426,44901,2525.1,0,1610.3,521.74
60.6,47628,45062,2565.3,0,1624.4,526.32
60.7,47834,45227,2606.8,0,1638.8,530.97
60.8,48044,45394,2649.7,0,1653.4,535.71
60.9,48259,45565,2693.8,0,1668.3,540.54
61,48478,45738,2739.4,0,1683.5,545.45
61.1,48701,45915,2786.5,0,1698.9,550.46
61.2,48930,46095,2835.1,0,1714.7,555.56
61.3,49163,46278,2885.3,0,1730.7,560.75
61.4,49402,46465,2937.2,0,1747,566.04
61.5,49646,46655,2990.8,0,1763.7,571.43
61.6,49896,46849,3046.3,0,1780.6,576.92
61.7,50151,47047,3103.6,0,1797.9,582.52
61.8,50412,47249,3162.9,0,1815.5,588.24
61.9,50679,47454,3224.3,0,1833.5,594.06
62,50952,47664,3287.9,0,1851.9,600
62.1,51232,47878,3353.7,0,1870.6,606.06
62.2,51518,48096,3421.9,0,1889.6,612.24
62.3,51812,48319,3492.5,0,1909.1,618.56
62.4,52112,48547,3565.8,0,1929,625
62.5,52421,48779,3641.8,0,1949.3,631.58
62.6,52737,49016,3720.6,0,1970.1,638.3
62.7,53061,49258,3802.5,0,1991.2,645.16
62.8,53394,49506,3887.4,0,2012.9,652.17
62.9,53735,49759,3975.7,0,2035,659.34
63,54085,50018,4067.4,0,2057.6,666.67
63.1,54445,50282,4162.8,0,2080.7,674.16
63.2,54815,50553,4261.9,0,2104.4,681.82
63.3,55195,50829,4365.1,0,2128.6,689.66
63.4,55585,51113,4472.6,0,2153.3,697.67
63.5,55987,51402,4584.5,0,2178.6,705.88
63.6,56400,51699,4701.1,0,2204.6,714.29
63.7,56826,52003,4822.7,0,2231.1,722.89
63.8,57264,52314,4949.5,0,2258.4,731.71
63.9,57715,52633,5081.8,0,2286.2,740.74
64,58180,52960,5220,0,2314.8,750
64.1,58660,53295,5364.4,0,2344.1,759.49
64.2,59154,53639,5515.3,0,2374.2,769.23
64.3,59665,53992,5673.1,0,2405,779.22
64.4,60192,54354,5838.3,0,2436.6,789.47
64.5,60737,54725,6011.2,0,2469.1,800
64.6,61299,55107,6192.5,0,2502.5,810.81
64.7,61882,55499,6382.5,0,2536.8,821.92
64.8,62484,55902,6581.8,0,2572,833.33
64.9,63108,56317,6791,0,2608.2,845.07
65,63754,56743,7010.9,0,2645.5,857.14
