SAT,TotalPower,CoolingPower,FanPower,Reheat,Zone1ActualFlow,Zone2ActualFlow
45,29678,23455,1038.7,5184,685.87,400
45.1,29574,23392,1040.7,5140.8,688.42,400
45.2,29470,23330,1042.7,5097.6,690.99,400
45.3,29366,23267,1044.8,5054.4,693.58,400
45.4,29262,23204,1046.8,5011.2,696.18,400
45.5,29158,23141,1048.9,4968,698.81,400
45.6,29054,23078,1051,4924.8,701.46,400
45.7,28949,23014,1053.1,4881.6,704.13,400
45.8,28845,22951,1055.3,4838.4,706.81,400
45.9,28740,22887,1057.4,4795.2,709.52,400
46,28635,22823,1059.6,4752,712.25,400
46.1,28530,22759,1061.8,4708.8,715,400
46.2,28425,22695,1064.1,4665.6,717.77,400
46.3,28320,22631,1066.4,4622.4,720.56,400
46.4,28214,22566,1068.7,4579.2,723.38,400
46.5,28109,22502,1071,4536,726.22,400
46.6,28003,22437,1073.3,4492.8,729.08,400
46.7,27897,22372,1075.7,4449.6,731.96,400
46.8,27791,22307,1078.1,4406.4,734.86,400
46.9,27685,22242,1080.6,4363.2,737.79,400
47,27579,22176,1083,4320,740.74,400
47.1,27473,22110,1085.5,4276.8,743.72,400
47.2,27366,22044,1088,4233.6,746.71,400
47.3,27259,21978,1090.6,4190.4,749.74,400
47.4,27153,21912,1093.2,4147.2,752.79,400
47.5,27046,21846,1095.8,4104,755.86,400
47.6,26938,21779,1098.5,4060.8,758.96,400
47.7,26831,21712,1101.1,4017.6,762.08,400
47.8,26724,21645,1103.9,3974.4,765.23,400
47.9,26616,21578,1106.6,3931.2,768.4,400
48,26508,21511,1109.4,3888,771.6,400
48.1,26400,21443,1112.2,3844.8,774.83,400
48.2,26292,21375,1115.1,3801.6,778.09,400
48.3,26184,21307,1117.9,3758.4,781.37,400
48.4,26075,21239,1120.9,3715.2,784.68,400
48.5,25966,21171,1123.8,3672,788.02,400
48.6,25858,21102,1126.8,3628.8,791.39,400
48.7,25749,21033,1129.9,3585.6,794.79,400
