SAT_F,TotalPower_BTU_h,CoolingPower_BTU_h,FanPower_BTU_h,Reheat_BTU_h,Zone1ActualFlow_CFM,Zone2ActualFlow_CFM,TotalCost,CoolingCost,FanCost,ReheatCost
45,47269,41046,1038.7,5184,685.87,400,0.72883,0.62595,0.024963,0.077916
45.05,47237,41035,1039.7,5162.4,687.14,400,0.72837,0.62579,0.024987,0.077591
45.1,47206,41025,1040.7,5140.8,688.42,400,0.7279,0.62563,0.025011,0.077266
45.15,47175,41014,1041.7,5119.2,689.7,400,0.72744,0.62547,0.025035,0.076942
45.2,47144,41004,1042.7,5097.6,690.99,400,0.72698,0.62531,0.025059,0.076617
45.25,47113,40993,1043.7,5076,692.28,400,0.72652,0.62515,0.025083,0.076292
45.3,47082,40983,1044.8,5054.4,693.58,400,0.72606,0.62499,0.025108,0.075968
45.35,47051,40973,1045.8,5032.8,694.88,400,0.72561,0.62483,0.025132,0.075643
45.4,47020,40962,1046.8,5011.2,696.18,400,0.72515,0.62467,0.025157,0.075318
45.45,46989,40952,1047.9,4989.6,697.5,400,0.72469,0.62452,0.025182,0.074994
45.5,46959,40942,1048.9,4968,698.81,400,0.72424,0.62436,0.025207,0.074669
45.55,46928,40932,1049.9,4946.4,700.13,400,0.72378,0.62421,0.025232,0.074344
45.6,46897,40921,1051,4924.8,701.46,400,0.72333,0.62405,0.025257,0.07402
45.65,46867,40911,1052,4903.2,702.79,400,0.72288,0.6239,0.025283,0.073695
45.7,46836,40901,1053.1,4881.6,704.13,400,0.72242,0.62374,0.025308,0.07337
45.75,46805,40891,1054.2,4860,705.47,400,0.72197,0.62359,0.025334,0.073046
45.8,46775,40881,1055.3,4838.4,706.81,400,0.72152,0.62344,0.02536,0.072721
45.85,46744,40871,1056.3,4816.8,708.17,400,0.72107,0.62329,0.025386,0.072397
45.9,46714,40861,1057.4,4795.2,709.52,400,0.72062,0.62314,0.025412,0.072072
45.95,46684,40852,1058.5,4773.6,710.88,400,0.72017,0.62299,0.025438,0.071747
46,46653,40842,1059.6,4752,712.25,400,0.71973,0.62284,0.025465,0.071423
46.05,46623,40832,1060.7,4730.4,713.62,400,0.71928,0.62269,0.025491,0.071098
46.1,46593,40822,1061.8,4708.8,715,400,0.71883,0.62254,0.025518,0.070773
46.15,46563,40813,1063,4687.2,716.38,400,0.71839,0.62239,0.025545,0.070449
46.2,46533,40803,1064.1,4665.6,717.77,400,0.71794,0.62225,0.025572,0.070124
46.25,46503,40794,1065.2,4644,719.17,400,0.7175,0.6221,0.025599,0.069799
46.3,46473,40784,1066.4,4622.4,720.56,400,0.71706,0.62196,0.025627,0.069475
46.35,46443,40775,1067.5,4600.8,721.97,400,0.71662,0.62181,0.025654,0.06915
46.4,46413,40765,1068.7,4579.2,723.38,400,0.71618,0.62167,0.025682,0.068825
46.45,46383,40756,1069.8,4557.6,724.8,400,0.71574,0.62153,0.02571,0.068501
46.5,46353,40747,1071,4536,726.22,400,0.7153,0.62138,0.025738,0.068176
46.55,46324,40737,1072.2,4514.4,727.64,400,0.71486,0.62124,0.025766,0.067851
46.6,46294,40728,1073.3,4492.8,729.08,400,0.71442,0.6211,0.025794,0.067527
46.65,46265,40719,1074.5,4471.2,730.51,400,0.71399,0.62096,0.025823,0.067202
46.7,46235,40710,1075.7,4449.6,731.96,400,0.71355,0.62082,0.025851,0.066877
46.75,46206,40701,1076.9,4428,733.41,400,0.71312,0.62068,0.02588,0.066553
46.8,46176,40692,1078.1,4406.4,734.86,400,0.71268,0.62055,0.025909,0.066228
46.85,46147,40683,1079.3,4384.8,736.32,400,0.71225,0.62041,0.025938,0.065904
46.9,46117,40674,1080.6,4363.2,737.79,400,0.71182,0.62027,0.025968,0.065579
46.95,46088,40665,1081.8,4341.6,739.26,400,0.71139,0.62014,0.025997,0.065254
47,46059,40656,1083,4320,740.74,400,0.71096,0.62,0.026027,0.06493
47.05,46030,40647,1084.3,4298.4,742.23,400,0.71053,0.61987,0.026057,0.064605
