SAT_F,TotalPower_BTU_h,CoolingPower_BTU_h,FanPower_BTU_h,Reheat_BTU_h,Zone1ActualFlow_CFM,Zone2ActualFlow_CFM,TotalCost,CoolingCost,FanCost,ReheatCost
45,29678,23455,1038.7,5184,685.87,400,0.46056,0.35769,0.024963,0.077916
45.05,29626,23424,1039.7,5162.4,687.14,400,0.45979,0.35721,0.024987,0.077591
45.1,29574,23392,1040.7,5140.8,688.42,400,0.45901,0.35673,0.025011,0.077266
45.15,29522,23361,1041.7,5119.2,689.7,400,0.45823,0.35626,0.025035,0.076942
45.2,29470,23330,1042.7,5097.6,690.99,400,0.45745,0.35578,0.025059,0.076617
45.25,29418,23298,1043.7,5076,692.28,400,0.45668,0.3553,0.025083,0.076292
45.3,29366,23267,1044.8,5054.4,693.58,400,0.4559,0.35482,0.025108,0.075968
45.35,29314,23236,1045.8,5032.8,694.88,400,0.45512,0.35434,0.025132,0.075643
45.4,29262,23204,1046.8,5011.2,696.18,400,0.45434,0.35386,0.025157,0.075318
45.45,29210,23173,1047.9,4989.6,697.5,400,0.45356,0.35338,0.025182,0.074994
45.5,29158,23141,1048.9,4968,698.81,400,0.45278,0.3529,0.025207,0.074669
45.55,29106,23109,1049.9,4946.4,700.13,400,0.45199,0.35242,0.025232,0.074344
45.6,29054,23078,1051,4924.8,701.46,400,0.45121,0.35194,0.025257,0.07402
45.65,29001,23046,1052,4903.2,702.79,400,0.45043,0.35145,0.025283,0.073695
45.7,28949,23014,1053.1,4881.6,704.13,400,0.44965,0.35097,0.025308,0.07337
45.75,28897,22983,1054.2,4860,705.47,400,0.44887,0.35049,0.025334,0.073046
45.8,28845,22951,1055.3,4838.4,706.81,400,0.44808,0.35,0.02536,0.072721
45.85,28792,22919,1056.3,4816.8,708.17,400,0.4473,0.34952,0.025386,0.072397
45.9,28740,22887,1057.4,4795.2,709.52,400,0.44651,0.34903,0.025412,0.072072
45.95,28687,22855,1058.5,4773.6,710.88,400,0.44573,0.34854,0.025438,0.071747
46,28635,22823,1059.6,4752,712.25,400,0.44494,0.34806,0.025465,0.071423
46.05,28583,22791,1060.7,4730.4,713.62,400,0.44416,0.34757,0.025491,0.071098
