SAT_F,TotalPower_BTU_h,CoolingPower_BTU_h,FanPower_BTU_h,Reheat_BTU_h,Zone1ActualFlow_CFM,Zone2ActualFlow_CFM,TotalCost,CoolingCost,FanCost,ReheatCost
45,29678,23455,1038.7,5184,685.87,400,0.068523,0.035769,0.024963,0.0077916
45.1,29574,23392,1040.7,5140.8,688.42,400,0.068411,0.035673,0.025011,0.0077266
45.2,29470,23330,1042.7,5097.6,690.99,400,0.068298,0.035578,0.025059,0.0076617
45.3,29366,23267,1044.8,5054.4,693.58,400,0.068186,0.035482,0.025108,0.0075968
45.4,29262,23204,1046.8,5011.2,696.18,400,0.068075,0.035386,0.025157,0.0075318
45.5,29158,23141,1048.9,4968,698.81,400,0.067964,0.03529,0.025207,0.0074669
45.6,29054,23078,1051,4924.8,701.46,400,0.067853,0.035194,0.025257,0.007402
45.7,28949,23014,1053.1,4881.6,704.13,400,0.067742,0.035097,0.025308,0.007337
45.8,28845,22951,1055.3,4838.4,706.81,400,0.067632,0.035,0.02536,0.0072721
45.9,28740,22887,1057.4,4795.2,709.52,400,0.067522,0.034903,0.025412,0.0072072
46,28635,22823,1059.6,4752,712.25,400,0.067413,0.034806,0.025465,0.0071423
46.1,28530,22759,1061.8,4708.8,715,400,0.067303,0.034708,0.025518,0.0070773
46.2,28425,22695,1064.1,4665.6,717.77,400,0.067195,0.03461,0.025572,0.0070124
46.3,28320,22631,1066.4,4622.4,720.56,400,0.067086,0.034512,0.025627,0.0069475
46.4,28214,22566,1068.7,4579.2,723.38,400,0.066978,0.034414,0.025682,0.0068825
46.5,28109,22502,1071,4536,726.22,400,0.066871,0.034315,0.025738,0.0068176
46.6,28003,22437,1073.3,4492.8,729.08,400,0.066763,0.034216,0.025794,0.0067527
46.7,27897,22372,1075.7,4449.6,731.96,400,0.066656,0.034117,0.025851,0.0066877
46.8,27791,22307,1078.1,4406.4,734.86,400,0.06655,0.034018,0.025909,0.0066228
46.9,27685,22242,1080.6,4363.2,737.79,400,0.066444,0.033918,0.025968,0.0065579
47,27579,22176,1083,4320,740.74,400,0.066338,0.033818,0.026027,0.006493
47.1,27473,22110,1085.5,4276.8,743.72,400,0.066233,0.033718,0.026087,0.006428
47.2,27366,22044,1088,4233.6,746.71,400,0.066129,0.033618,0.026148,0.0063631
47.3,27259,21978,1090.6,4190.4,749.74,400,0.066024,0.033517,0.026209,0.0062982
47.4,27153,21912,1093.2,4147.2,752.79,400,0.065921,0.033416,0.026271,0.0062332
47.5,27046,21846,1095.8,4104,755.86,400,0.065817,0.033315,0.026334,0.0061683
47.6,26938,21779,1098.5,4060.8,758.96,400,0.065714,0.033213,0.026398,0.0061034
47.7,26831,21712,1101.1,4017.6,762.08,400,0.065612,0.033111,0.026462,0.0060385
47.8,26724,21645,1103.9,3974.4,765.23,400,0.06551,0.033009,0.026528,0.0059735
47.9,26616,21578,1106.6,3931.2,768.4,400,0.065409,0.032907,0.026594,0.0059086
48,26508,21511,1109.4,3888,771.6,400,0.065308,0.032804,0.026661,0.0058437
48.1,26400,21443,1112.2,3844.8,774.83,400,0.065208,0.032701,0.026728,0.0057787
48.2,26292,21375,1115.1,3801.6,778.09,400,0.065108,0.032597,0.026797,0.0057138
48.3,26184,21307,1117.9,3758.4,781.37,400,0.065009,0.032494,0.026866,0.0056489
48.4,26075,21239,1120.9,3715.2,784.68,400,0.06491,0.032389,0.026937,0.0055839
48.5,25966,21171,1123.8,3672,788.02,400,0.064812,0.032285,0.027008,0.005519
48.6,25858,21102,1126.8,3628.8,791.39,400,0.064715,0.03218,0.02708,0.0054541
48.7,25749,21033,1129.9,3585.6,794.79,400,0.064618,0.032075,0.027153,0.0053892
