Temperature_F,omega,pred_omega,firstDerivativeOmega,secondDerivativeOmega
20,0.0022887,0.0018563,0.00019214,-4.7806e-06
21,0.0023885,0.0020462,0.0001876,-4.2968e-06
22,0.0024923,0.0022317,0.00018354,-3.813e-06
23,0.0026001,0.0024134,0.00017997,-3.3292e-06
24,0.002712,0.0025918,0.00017689,-2.8454e-06
25,0.0028282,0.0027674,0.00017428,-2.3616e-06
26,0.0029489,0.0029405,0.00017216,-1.8778e-06
27,0.0030741,0.0031118,0.00017053,-1.394e-06
28,0.0032041,0.0032818,0.00016938,-9.1015e-07
29,0.0033389,0.0034508,0.00016871,-4.2634e-07
30,0.0034788,0.0036193,0.00016852,5.7472e-08
31,0.003624,0.003788,0.00016882,5.4128e-07
32,0.0037745,0.0039571,0.00016961,1.0251e-06
33,0.0039305,0.0041273,0.00017087,1.5089e-06
34,0.0040923,0.004299,0.00017262,1.9927e-06
35,0.0042601,0.0044727,0.00017486,2.4765e-06
36,0.0044339,0.0046489,0.00017758,2.9603e-06
37,0.0046141,0.0048281,0.00018078,3.4441e-06
38,0.0048008,0.0050106,0.00018446,3.928e-06
39,0.0049941,0.0051971,0.00018863,4.4118e-06
40,0.0051945,0.0053881,0.00019329,4.8956e-06
41,0.0054019,0.0055839,0.00019843,5.3794e-06
42,0.0056168,0.0057851,0.00020405,5.8632e-06
43,0.0058392,0.0059921,0.00021015,6.347e-06
44,0.0060695,0.0062055,0.00021674,6.8308e-06
45,0.0063079,0.0064258,0.00022381,7.3146e-06
46,0.0065546,0.0066533,0.00023137,7.7984e-06
47,0.0068099,0.0068887,0.00023941,8.2823e-06
48,0.0070741,0.0071323,0.00024793,8.7661e-06
49,0.0073474,0.0073847,0.00025694,9.2499e-06
50,0.0076301,0.0076464,0.00026643,9.7337e-06
51,0.0079224,0.0079177,0.00027641,1.0218e-05
52,0.0082248,0.0081993,0.00028687,1.0701e-05
53,0.0085375,0.0084916,0.00029781,1.1185e-05
54,0.0088607,0.0087951,0.00030924,1.1669e-05
55,0.0091949,0.0091103,0.00032115,1.2153e-05
56,0.0095403,0.0094376,0.00033354,1.2637e-05
57,0.0098973,0.0097775,0.00034642,1.312e-05
58,0.010266,0.010131,0.00035979,1.3604e-05
59,0.010647,0.010497,0.00037363,1.4088e-05
60,0.011041,0.010878,0.00038796,1.4572e-05
61,0.011448,0.011273,0.00040278,1.5056e-05
62,0.011869,0.011684,0.00041807,1.5539e-05
63,0.012303,0.01211,0.00043385,1.6023e-05
64,0.012751,0.012552,0.00045012,1.6507e-05
65,0.013214,0.01301,0.00046687,1.6991e-05
66,0.013692,0.013486,0.0004841,1.7475e-05
67,0.014186,0.013978,0.00050182,1.7958e-05
68,0.014695,0.014489,0.00052002,1.8442e-05
69,0.015221,0.015019,0.0005387,1.8926e-05
70,0.015764,0.015567,0.00055787,1.941e-05
71,0.016324,0.016135,0.00057752,1.9894e-05
72,0.016902,0.016722,0.00059766,2.0378e-05
73,0.017499,0.01733,0.00061828,2.0861e-05
74,0.018115,0.017959,0.00063938,2.1345e-05
75,0.01875,0.018609,0.00066097,2.1829e-05
76,0.019405,0.019281,0.00068304,2.2313e-05
77,0.020081,0.019975,0.00070559,2.2797e-05
78,0.020778,0.020692,0.00072863,2.328e-05
79,0.021498,0.021433,0.00075215,2.3764e-05
80,0.022239,0.022197,0.00077616,2.4248e-05
81,0.023004,0.022985,0.00080065,2.4732e-05
82,0.023793,0.023798,0.00082562,2.5216e-05
83,0.024607,0.024636,0.00085108,2.5699e-05
84,0.025446,0.0255,0.00087702,2.6183e-05
85,0.026311,0.026391,0.00090345,2.6667e-05
86,0.027203,0.027308,0.00093036,2.7151e-05
87,0.028122,0.028252,0.00095775,2.7635e-05
88,0.02907,0.029223,0.00098563,2.8119e-05
89,0.030047,0.030223,0.001014,2.8602e-05
90,0.031054,0.031251,0.0010428,2.9086e-05
91,0.032093,0.032309,0.0010722,2.957e-05
92,0.033163,0.033396,0.001102,3.0054e-05
93,0.034266,0.034513,0.0011323,3.0538e-05
94,0.035404,0.035661,0.001163,3.1021e-05
95,0.036576,0.036839,0.0011943,3.1505e-05
96,0.037784,0.038049,0.0012261,3.1989e-05
97,0.039029,0.039291,0.0012583,3.2473e-05
98,0.040312,0.040566,0.001291,3.2957e-05
99,0.041635,0.041874,0.0013242,3.344e-05
100,0.042998,0.043215,0.0013579,3.3924e-05
101,0.044403,0.04459,0.001392,3.4408e-05
102,0.045852,0.045999,0.0014267,3.4892e-05
103,0.047344,0.047443,0.0014618,3.5376e-05
104,0.048883,0.048923,0.0014975,3.5859e-05
105,0.050468,0.050438,0.0015336,3.6343e-05
106,0.052102,0.05199,0.0015701,3.6827e-05
107,0.053787,0.053579,0.0016072,3.7311e-05
108,0.055523,0.055205,0.0016448,3.7795e-05
109,0.057313,0.056868,0.0016828,3.8279e-05
110,0.059158,0.05857,0.0017213,3.8762e-05
